Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,SVM,0.6713211600429645,0.68,0.5877085877085877
Ensemble,Top3,0.6167471819645732,0.6400000000000003,0.6174196174196174
Fusion_All,XGBoost,0.6154761904761905,0.44,0.5807895807895808
Fusion_All,SVM,0.614070968401677,0.55,0.6168091168091169
MFCC,Random Forest,0.6110687438718815,0.55,0.5286935286935287
MFCC,Logistic Regression,0.6060881417537483,0.65,0.568986568986569
Fusion_All,Logistic Regression,0.6007226738934056,0.58,0.6263736263736264
Spectrogram,SVM,0.5677519379844961,0.49,0.49552299552299556
Fusion_All,Random Forest,0.5587811208305297,0.33,0.5520960520960521
Spectrogram,Random Forest,0.556949806949807,0.67,0.5518925518925519
Wav2Vec_Full,Random Forest,0.5567358763882182,0.34,0.49613349613349617
Spectrogram,XGBoost,0.5490716180371353,0.32,0.5502645502645502
Spectrogram,Logistic Regression,0.5371333702268954,0.64,0.505901505901506
MFCC,XGBoost,0.5139256592184687,0.68,0.4757834757834758
Wav2Vec_Full,SVM,0.5050465838509317,0.32,0.49613349613349617
Wav2Vec_Full,XGBoost,0.4983438723276122,0.5,0.48392348392348394
Wav2Vec_Full,Logistic Regression,0.4967105263157895,0.52,0.4676434676434677
