scenario,model,best_ncomp,best_scaler,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S3_Wav2Vec,SVM,20,robust,2,0.659,0.0866,0.6838,0.5396,0.55,0.48,-0.1193,25.1,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[0.7555881654665736, 0.0892618680286133, 0.5, 0.44994885698676007, 0.5, 0.12442105876863135, 0.8133748879665673, 0.18208499233557018, 0.5134793463037227, 0.9495455962517203, 0.48469588282709464, 0.5, 0.25646832440402434, 0.10227227829798895, 0.5, 0.4918003524010496, 0.7180315218913941, 0.9485958589323795, 0.9752915960292242, 0.008903919699677448]"
S3_Wav2Vec,XGBoost,10,robust,1,0.6198,0.0878,0.6338,0.4949,0.5,0.43,-0.1248,20.9,"[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[0.9615805745124817, 0.0345795638859272, 0.9298883080482483, 0.952165961265564, 0.2469554990530014, 0.7209191918373108, 0.9686476588249207, 0.07152403891086578, 0.2724956274032593, 0.8951163291931152, 0.6616816520690918, 0.616961658000946, 0.18182934820652008, 0.22702716290950775, 0.16761420667171478, 0.40163546800613403, 0.7076852917671204, 0.9831083416938782, 0.9785290956497192, 0.06838034093379974]"
S4_Fusion,LogisticRegression,40,standard,6,0.6428,0.0937,0.6721,0.5489,0.55,0.47,-0.0939,47.5,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9989115456766926, 0.39306738699522026, 0.17686717082866552, 0.9845173518814676, 0.0800481152925564, 0.9620625087991931, 0.18668053430574721, 0.005962219610111725, 0.49096381259648275, 0.9896105766757997, 0.6782039889753513, 0.2603225969996927, 0.007803473932205002, 0.9871338972350439, 0.00022124865868860738, 0.43137952225390497, 0.7324146374566897, 0.9974508673501693, 0.9835148745872391, 0.014064788711920717]"
S4_Fusion,RandomForest,40,standard,2,0.5728,0.116,0.6699,0.596,0.6,0.415,0.0232,115.6,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0.9, 0.918, 0.826, 0.926, 0.768, 0.938, 0.81, 0.744, 0.868, 0.934, 0.932, 0.874, 0.87, 0.874, 0.7, 0.802, 0.89, 0.91, 0.892, 0.744]"
S4_Fusion,SVM,40,standard,4,0.6023,0.0569,0.6346,0.6,0.6,0.5,-0.0023,26.6,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0.9966450707737405, 0.8682056396103383, 0.8466827014768606, 0.9596679285632238, 0.7171122239329663, 0.9593322226901743, 0.6283444870026568, 0.13530198984766328, 0.8058138047590709, 0.9790611721372208, 0.936540537958414, 0.8738889229130645, 0.41499597366043295, 0.9543178023669228, 0.14129725748122351, 0.8854520072781746, 0.8658889903651883, 0.9947555685582964, 0.9820380162116749, 0.27598350628299645]"
S4_Fusion,XGBoost,30,robust,0,0.5602,0.0601,0.5868,0.5489,0.55,0.48,-0.0113,20.4,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[0.45299032330513, 0.9791916012763977, 0.5208931565284729, 0.10577697306871414, 0.395212858915329, 0.9202064871788025, 0.9702883958816528, 0.30559784173965454, 0.9717854857444763, 0.5839206576347351, 0.9841894507408142, 0.9489628672599792, 0.46391236782073975, 0.13416118919849396, 0.9641517400741577, 0.13782614469528198, 0.9670749306678772, 0.06380663812160492, 0.9720467329025269, 0.3665979206562042]"
S5_FusionEng,LogisticRegression,30,standard,6,0.6247,0.0569,0.6596,0.6,0.6,0.48,-0.0247,44.7,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9991027873978737, 0.20069789437838717, 0.7124573297602024, 0.9894430609652304, 0.07006741953688632, 0.4077618350798451, 0.15851721482033837, 0.10718759356656433, 0.4460192066114347, 0.9977025400207677, 0.09360572740219174, 0.047171582458320774, 0.5219084060464361, 0.9799441165756341, 0.0006518897373915154, 0.7483528712071335, 0.9968992678225131, 0.9941987039751844, 0.9880316064811433, 0.3432049711509216]"
S5_FusionEng,RandomForest,100,standard,3,0.663,0.0651,0.6824,0.4486,0.45,0.3,-0.2143,101.8,"[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[0.972, 0.956, 0.958, 0.942, 0.882, 0.96, 0.854, 0.376, 0.89, 0.944, 0.946, 0.916, 0.404, 0.924, 0.308, 0.95, 0.452, 0.95, 0.548, 0.39]"
S5_FusionEng,SVM,30,standard,0,0.6401,0.0281,0.6831,0.5833,0.6,0.49,-0.0568,32.6,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.7954031239534645, 0.6156706940410224, 0.3908306920557353, 0.9625688167861244, 0.08905475710593842, 0.8634416349246491, 0.12073394066916801, 0.027523721215254326, 0.20878867418338407, 0.9860652529536293, 0.34923134225966096, 0.06565968619060897, 0.11114663029937522, 0.9019340781864499, 0.09336108867056901, 0.4123700458551241, 0.9720602291162462, 0.9338069605398454, 0.9622075243888699, 0.10031493783091228]"
S5_FusionEng,XGBoost,50,robust,1,0.5808,0.0682,0.6228,0.5604,0.6,0.48,-0.0203,22.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0.615625262260437, 0.8886207938194275, 0.3369584381580353, 0.8349453806877136, 0.3836246430873871, 0.9369921684265137, 0.28727787733078003, 0.3147789239883423, 0.8578914999961853, 0.43883681297302246, 0.9456667900085449, 0.28289711475372314, 0.39292508363723755, 0.9348913431167603, 0.544526219367981, 0.9085950255393982, 0.4783409535884857, 0.08448480814695358, 0.7281219959259033, 0.2825804650783539]"
