Feature,Model,CV F1 Mean,CV F1 Std,CV F1 Min,CV F1 Max,CV Acc,CV AUC,CV Rec Dep,CV Prec Dep
All3,LGB_100,0.6655,0.0811,0.5489,0.7667,0.7048,0.5705,0.5071,0.7004
All3,GBM_200,0.6638,0.1123,0.5238,0.7917,0.6948,0.5619,0.5321,0.6439
MFCC+W2V,LGB_100,0.6552,0.0527,0.5611,0.7083,0.6862,0.6036,0.6071,0.5958
MFCC+W2V,LGB_200,0.6479,0.0769,0.5312,0.7529,0.6957,0.5932,0.5536,0.6811
MFCC,GBM_d4,0.6478,0.0901,0.5611,0.7917,0.6771,0.5633,0.6071,0.579
Spec,LR_1,0.6471,0.0759,0.5611,0.7597,0.6952,0.5689,0.5357,0.6773
MFCC+Spec,GBM_200,0.6465,0.0909,0.52,0.7667,0.6757,0.5555,0.5107,0.6286
All3,GBM_d4,0.6388,0.0733,0.5396,0.7333,0.6757,0.5534,0.5357,0.6484
MFCC+Spec,XGB_d4,0.6386,0.0888,0.5396,0.7857,0.6562,0.5367,0.6643,0.5751
MFCC+W2V,XGB_100,0.6384,0.0385,0.5714,0.6921,0.6867,0.597,0.4607,0.7123
MFCC,GBM_200,0.635,0.1169,0.4792,0.7917,0.6562,0.5659,0.6321,0.5294
All3,XGB_d4,0.6343,0.1196,0.4486,0.7667,0.6643,0.5323,0.5321,0.6172
MFCC,RF_300,0.6342,0.1034,0.4667,0.7529,0.6862,0.5632,0.5036,0.6429
MFCC,GBM_100,0.6324,0.1374,0.4486,0.7917,0.6657,0.556,0.6786,0.5609
MFCC,XGB_d4,0.632,0.0653,0.52,0.6971,0.6562,0.5644,0.5357,0.5468
MFCC+Spec,LGB_100,0.6311,0.11,0.4486,0.7857,0.6748,0.5554,0.4821,0.6969
All3,XGB_100,0.6302,0.1236,0.4505,0.8329,0.6748,0.4937,0.4821,0.6277
MFCC+Spec,XGB_200,0.6284,0.0738,0.52,0.7407,0.6662,0.5182,0.5571,0.5952
Spec,LGB_200,0.6246,0.0342,0.5714,0.6667,0.6671,0.5767,0.5179,0.6577
MFCC+W2V,GBM_200,0.6242,0.0841,0.4982,0.7151,0.6671,0.5695,0.5286,0.5819
MFCC+W2V,XGB_d4,0.6189,0.0863,0.4872,0.7215,0.6567,0.5466,0.5607,0.5791
MFCC+W2V,GBM_100,0.6182,0.0757,0.4982,0.7151,0.6676,0.5737,0.5036,0.6114
MFCC+Spec,LGB_200,0.6175,0.1045,0.4505,0.7407,0.6552,0.5357,0.4821,0.5438
All3,RF_300,0.6173,0.0991,0.4357,0.7083,0.6457,0.5215,0.6036,0.5027
MFCC+W2V,GBM_d4,0.6171,0.1034,0.52,0.7667,0.6567,0.5499,0.4571,0.629
MFCC,XGB_200,0.6143,0.0747,0.52,0.7407,0.6657,0.5732,0.4321,0.6063
Spec,XGB_100,0.6113,0.0698,0.5238,0.7215,0.6557,0.5498,0.4679,0.5954
MFCC+W2V,ET_300,0.6088,0.1261,0.4714,0.7917,0.6676,0.4871,0.4786,0.6233
All3,LGB_200,0.6084,0.1003,0.4949,0.7857,0.6362,0.5382,0.4857,0.5467
Spec,XGB_d4,0.6081,0.1047,0.4667,0.7407,0.6652,0.5342,0.4286,0.5495
MFCC,LGB_200,0.6048,0.0803,0.4982,0.7,0.6571,0.5382,0.5071,0.6326
Spec,LGB_100,0.6043,0.0711,0.5238,0.7136,0.6762,0.5542,0.4036,0.6867
MFCC+W2V,XGB_200,0.6026,0.0582,0.4949,0.6636,0.6171,0.5481,0.6607,0.5002
All3,GBM_100,0.5967,0.16,0.3484,0.7802,0.6157,0.521,0.5393,0.5699
All3,MLP_s,0.5943,0.1096,0.4505,0.7529,0.6157,0.5296,0.5821,0.5015
MFCC+Spec,GBM_d4,0.593,0.1446,0.3407,0.7151,0.6352,0.5149,0.4036,0.5993
MFCC,ET_300,0.592,0.1177,0.4048,0.7442,0.6267,0.5022,0.4786,0.4844
MFCC+Spec,MLP_s,0.591,0.0781,0.5,0.7083,0.6462,0.482,0.4786,0.6478
MFCC+Spec,RF_300,0.5909,0.0636,0.4982,0.6703,0.6471,0.5287,0.4036,0.5444
Spec,SVM_10,0.5902,0.0918,0.4982,0.7407,0.6271,0.537,0.6536,0.5304
MFCC+Spec,XGB_100,0.5898,0.0876,0.4792,0.7407,0.6267,0.5061,0.4571,0.5369
MFCC,XGB_100,0.5897,0.0596,0.52,0.6971,0.6462,0.5661,0.3821,0.564
MFCC,SVM_10,0.5872,0.0408,0.5238,0.6419,0.6271,0.5238,0.4893,0.5333
MFCC,SVM_100,0.5872,0.0408,0.5238,0.6419,0.6271,0.5238,0.4893,0.5333
Spec,GBM_d4,0.587,0.1107,0.3939,0.7083,0.6157,0.4943,0.4857,0.5634
MFCC+W2V,MLP_s,0.5838,0.1254,0.3939,0.7333,0.6071,0.5088,0.5107,0.5024
All3,XGB_200,0.5764,0.0439,0.4949,0.6182,0.6081,0.4599,0.5071,0.5242
MFCC+Spec,ET_300,0.5751,0.0509,0.4982,0.6429,0.6381,0.4567,0.5036,0.5775
MFCC,LGB_100,0.5741,0.0787,0.4373,0.6541,0.6167,0.5132,0.4821,0.5188
MFCC+W2V,RF_300,0.5728,0.1351,0.3407,0.7529,0.6067,0.5106,0.4786,0.4973
Spec,XGB_200,0.5727,0.0816,0.4667,0.7083,0.6171,0.4854,0.5036,0.4857
All3,ET_300,0.5677,0.0824,0.4667,0.7083,0.6076,0.4835,0.4786,0.4789
MFCC,MLP_s,0.5662,0.0538,0.4982,0.6541,0.6271,0.4862,0.3821,0.5911
MFCC+W2V,SVM_100,0.5641,0.0418,0.5227,0.6419,0.6186,0.4884,0.4321,0.5302
