Dataset,Model,F1,Thr,AUC
eGeMAPS_AudioOnly,Random Forest,0.6792586054721976,0.48,0.553061224489796
Multimodal_eGeMAPS,Random Forest,0.6128105458847388,0.43,0.523469387755102
Multimodal_eGeMAPS,XGBoost,0.6096837944664031,0.45,0.5204081632653061
eGeMAPS_AudioOnly,XGBoost,0.5955869373345102,0.64,0.5197278911564626
