Model,Test F1 Macro,Test Accuracy,Test AUC,Test Precision,Test Recall,Threshold
XGB_v2_thr70,0.6247,0.6957,0.6032,0.7171,0.631,0.7
XGB_v2,0.5965,0.6087,0.6032,0.5962,0.5992,0.5
MLP_seed99,0.5801,0.6087,0.5556,0.5833,0.5794,0.5
Ada_v1,0.5801,0.6087,0.5238,0.5833,0.5794,0.5
MLP_seed123,0.5548,0.6087,0.4365,0.5735,0.5595,0.5
Bag_LR,0.5437,0.5652,0.5317,0.5437,0.5437,0.5
MLP_seed42,0.5208,0.5652,0.5635,0.5268,0.5238,0.5
XGB_v1,0.5208,0.5652,0.5476,0.5268,0.5238,0.5
XGB_v3,0.4868,0.5217,0.5238,0.4875,0.4881,0.5
GBM_v2,0.4868,0.5217,0.4921,0.4875,0.4881,0.5
MLP_small,0.4868,0.5217,0.3492,0.4875,0.4881,0.5
MLP_wide,0.4868,0.5217,0.4603,0.4875,0.4881,0.5
MLP_seed1024,0.4868,0.5217,0.5,0.4875,0.4881,0.5
MLP_seed0,0.4866,0.5652,0.3968,0.5056,0.504,0.5
MLP_seed512,0.4866,0.5652,0.5,0.5056,0.504,0.5
MLP_seed13,0.4866,0.5652,0.4603,0.5056,0.504,0.5
LR_C1,0.4692,0.4783,0.5079,0.4735,0.4722,0.5
LR_C01,0.4692,0.4783,0.4603,0.4735,0.4722,0.5
MLP_seed256,0.4692,0.4783,0.4524,0.4735,0.4722,0.5
LR_C10,0.4692,0.4783,0.5317,0.4735,0.4722,0.5
LR_C100,0.4692,0.4783,0.5159,0.4735,0.4722,0.5
GBM_v1,0.4559,0.5217,0.4921,0.4608,0.4683,0.5
ET_300,0.4348,0.4348,0.3413,0.4563,0.4563,0.5
LR_l1_C1,0.4305,0.4348,0.5079,0.4394,0.4365,0.5
RF_300,0.425,0.4783,0.3571,0.4241,0.4325,0.5
MLP_seed76,0.4172,0.4348,0.3889,0.4192,0.4167,0.5
LR_C001,0.4172,0.4348,0.4524,0.4192,0.4167,0.5
MLP_deep,0.4103,0.5217,0.4048,0.4145,0.4484,0.5
RF_500,0.3935,0.4348,0.3016,0.3917,0.3968,0.5
ET_500,0.3839,0.4783,0.4206,0.3778,0.4127,0.5
SVM_C1,0.3839,0.4783,0.5079,0.3778,0.4127,0.5
SVM_lin_C10,0.3784,0.6087,0.5238,0.3043,0.5,0.5
SVM_C100,0.3784,0.6087,0.5159,0.3043,0.5,0.5
SVM_C1000,0.3784,0.6087,0.5159,0.3043,0.5,0.5
SVM_lin_C01,0.3784,0.6087,0.4762,0.3043,0.5,0.5
SVM_lin_C1,0.3784,0.6087,0.5238,0.3043,0.5,0.5
SVM_C01,0.3784,0.6087,0.5079,0.3043,0.5,0.5
SVM_C10,0.3784,0.6087,0.5635,0.3043,0.5,0.5
Bag_SVM,0.3784,0.6087,0.6032,0.3043,0.5,0.5
MLP_seed7,0.357,0.4348,0.3333,0.348,0.377,0.5
