Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,SVM,0.678082992402104,0.7,0.6021571021571022
Ensemble,Top4,0.678030303030303,0.5400000000000003,0.6121286121286121
Ensemble,Top3,0.6691176470588236,0.5700000000000003,0.6385836385836385
Fusion_All,SVM,0.6621499548328816,0.5,0.6524216524216524
MFCC,Logistic Regression,0.6608964805686117,0.57,0.6015466015466016
Ensemble,Top5,0.6608964805686117,0.6100000000000003,0.6011396011396011
Ensemble,Top6,0.6329468212714915,0.49000000000000016,0.6072446072446073
MFCC,Random Forest,0.6129464285714286,0.58,0.5368335368335369
Text_Only,Deep Neural Net,0.6029411764705883,0.6,0.5714285714285714
Spectrogram,SVM,0.6029411764705883,0.55,0.4997964997964998
Fusion_All,XGBoost,0.5952380952380952,0.52,0.5632885632885634
Fusion_All,Logistic Regression,0.5932099396666326,0.56,0.6068376068376069
MFCC,Deep Neural Net,0.5901785714285714,0.55,0.5038665038665039
Fusion_All,Random Forest,0.588076923076923,0.39,0.5714285714285715
Spectrogram,Logistic Regression,0.5865546218487395,0.5,0.5229955229955231
Fusion_All,Deep Neural Net,0.5723489109315881,0.52,0.5641025641025641
Text_Only,Logistic Regression,0.5677519379844961,0.55,0.5482295482295482
Spectrogram,Random Forest,0.5677519379844961,0.52,0.5612535612535612
Text_Only,Random Forest,0.5641025641025641,0.5,0.518925518925519
Text_Only,SVM,0.5510466988727858,0.63,0.5221815221815221
Spectrogram,XGBoost,0.5433455433455434,0.63,0.5372405372405373
Text_Only,XGBoost,0.5306268534614991,0.66,0.5132275132275133
Wav2Vec_Full,Logistic Regression,0.5255813953488373,0.55,0.4586894586894587
Wav2Vec_Full,Random Forest,0.5248447204968945,0.36,0.4932844932844933
MFCC,XGBoost,0.5225885225885225,0.68,0.47089947089947093
Spectrogram,Deep Neural Net,0.521875,0.55,0.4533984533984534
Wav2Vec_Full,XGBoost,0.5203761755485893,0.44,0.4595034595034595
Wav2Vec_Full,SVM,0.5067698259187621,0.33,0.512006512006512
Wav2Vec_Full,Deep Neural Net,0.49264705882352944,0.54,0.47212047212047215
