Dataset,Model,F1,Thr,AUC
Multimodal_MFCC,Random Forest,0.6504032258064516,0.41,0.6330891330891331
TextOnly,Random Forest,0.6202978056426333,0.38,0.6121286121286122
TextOnly,XGBoost,0.6023391812865497,0.42,0.6277981277981278
Multimodal_W2V,Random Forest,0.5921717171717171,0.48,0.5681725681725682
Multimodal_MFCC,XGBoost,0.5650319829424307,0.55,0.5327635327635328
Multimodal_W2V,XGBoost,0.5386513157894737,0.62,0.5518925518925519
