Model,Macro_F1,Best_Thr,AUC
Random Forest,0.5482558139534884,0.4300000000000001,0.5532357679914071
SVM,0.5376978417266187,0.5400000000000003,0.5221535982814178
Logistic Regression,0.5227272727272727,0.5000000000000002,0.5482008592910849
XGBoost,0.5158811475409836,0.5400000000000003,0.5093984962406015
