Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top3,0.5723489109315881,0.47000000000000014,0.5588115588115589
Wav2Vec_Full,Logistic Regression,0.5707070707070707,0.52,0.5738705738705739
Wav2Vec_Full,SVM,0.5596217105263158,0.41,0.5413105413105413
Spectrogram,Random Forest,0.5510466988727858,0.52,0.5278795278795279
Wav2Vec_Full,Random Forest,0.5475806451612903,0.44,0.5213675213675214
Spectrogram,SVM,0.5413573146502144,0.48,0.5067155067155067
Spectrogram,XGBoost,0.5221701710425972,0.7,0.4798534798534799
MFCC,SVM,0.5200250967269685,0.49,0.4200244200244201
Wav2Vec_Full,XGBoost,0.5195616649043545,0.34,0.5103785103785103
Spectrogram,Logistic Regression,0.5072463768115942,0.62,0.4603174603174603
MFCC,Random Forest,0.49404761904761907,0.46,0.41066341066341067
Fusion_All,SVM,0.49232235518373396,0.53,0.4603174603174603
MFCC,Logistic Regression,0.48588709677419356,0.53,0.44322344322344326
Fusion_All,Logistic Regression,0.4853462157809984,0.64,0.44322344322344326
Fusion_All,Random Forest,0.4700047236655645,0.55,0.3931623931623932
MFCC,XGBoost,0.45948549956643225,0.43,0.37851037851037855
Fusion_All,XGBoost,0.4494202319072371,0.53,0.37199837199837205
