scenario,model,best_K,best_bal,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,LogisticRegression,30,smoteenn,1,0.6539,0.0698,0.6956,0.6419,0.65,0.62,-0.012,91.1,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0.8962404243357244, 0.47484878489602417, 0.5242922645783415, 0.6559572629725751, 0.08950313159027375, 0.792383895606754, 0.24861463212548768, 0.2833664140669934, 0.41404801291956567, 0.6623460025808189, 0.8137920117947492, 0.2787733643092399, 0.4558580028754952, 0.6985455659563485, 0.11939078203214112, 0.8965839353341682, 0.5024594771945212, 0.9211366648747384, 0.8522558000881583, 0.444548306743839]"
S1_Spectrogram,RandomForest,30,smoteenn,5,0.6378,0.0505,0.6706,0.5489,0.55,0.44,-0.0889,136.9,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.81, 0.426, 0.366, 0.474, 0.17, 0.506, 0.418, 0.67, 0.64, 0.848, 0.364, 0.156, 0.338, 0.788, 0.284, 0.762, 0.796, 0.552, 0.5, 0.518]"
S1_Spectrogram,SVM,80,smote,7,0.6203,0.0898,0.6699,0.6491,0.65,0.59,0.0288,62.9,"[0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[0.1193197274576704, 0.2703353952768075, 0.3865811446541198, 0.28644882460376603, 0.8638118415861095, 0.4788835470914625, 0.44811885508385785, 0.20106843789364687, 0.2890775177826266, 0.1374711828122249, 0.46971342788220194, 0.225734059601616, 0.10315270862150402, 0.5568728162414645, 0.683984076618405, 0.4529468619549361, 0.42747868190817795, 0.08104205959395856, 0.523130329909924, 0.3674110510148199]"
S1_Spectrogram,XGBoost,50,smote,2,0.7605,0.0878,0.7926,0.4373,0.45,0.35,-0.3231,51.9,"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[0.9644078016281128, 0.08127868175506592, 0.20549696683883667, 0.8970980644226074, 0.08687852323055267, 0.9240453243255615, 0.4127444624900818, 0.5928965210914612, 0.6195055246353149, 0.9220322370529175, 0.029348591342568398, 0.010281840339303017, 0.4395544230937958, 0.9528878331184387, 0.03711327165365219, 0.9910003542900085, 0.32184237241744995, 0.18427574634552002, 0.3237738311290741, 0.5706759691238403]"
S2_MFCC,LogisticRegression,30,smote,10,0.6743,0.0621,0.7309,0.596,0.6,0.47,-0.0783,115.0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[0.65335165610946, 0.7301402064213734, 0.39601103352125183, 0.5538217204556597, 0.5789595053985439, 0.45167446940040934, 0.5823315972918878, 0.5637775695142314, 0.6301072393762174, 0.5804035431519459, 0.31590141593307536, 0.49703854286815546, 0.7174599373099159, 0.2476316936230469, 0.5491926801877264, 0.4887714903852446, 0.6779388023939875, 0.5977124957249297, 0.664250621576, 0.6211110784519396]"
S2_MFCC,RandomForest,30,smote,2,0.7792,0.0348,0.8051,0.596,0.6,0.46,-0.1832,149.2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[0.654, 0.312, 0.536, 0.392, 0.296, 0.3, 0.298, 0.398, 0.29, 0.49, 0.244, 0.208, 0.438, 0.394, 0.286, 0.28, 0.606, 0.5, 0.58, 0.416]"
S2_MFCC,SVM,50,smote,1,0.7037,0.0732,0.7566,0.5833,0.6,0.51,-0.1203,69.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[0.5348679367085281, 0.3777249791221158, 0.43200277573673485, 0.4793909875234944, 0.3547956087055375, 0.334049099690917, 0.42419833124042233, 0.3909139679480347, 0.43937391404081644, 0.653371032878573, 0.38297470630758845, 0.3529118582512542, 0.48072212970240485, 0.35917499271126063, 0.3531890904614961, 0.3992956831087595, 0.6781642209473183, 0.5926643436851613, 0.5525529710778746, 0.4011265555278747]"
S2_MFCC,XGBoost,30,smote,3,0.7997,0.0331,0.8287,0.6,0.6,0.51,-0.1997,62.8,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0.9435338973999023, 0.494853138923645, 0.8609310984611511, 0.29382243752479553, 0.08002930879592896, 0.47512754797935486, 0.13218723237514496, 0.25799626111984253, 0.23395638167858124, 0.2607799768447876, 0.023130111396312714, 0.021329429000616074, 0.7040737867355347, 0.6677472591400146, 0.2639617621898651, 0.033224932849407196, 0.49728092551231384, 0.38733145594596863, 0.7711872458457947, 0.641191303730011]"
S3_Wav2Vec,LogisticRegression,60,smoteenn,12,0.6149,0.1089,0.6331,0.5833,0.6,0.52,-0.0316,52.1,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]","[0.9999995330764846, 0.002073912143135011, 0.19167936026203627, 0.9521559495248537, 7.211913718137306e-06, 0.0002423336619200159, 0.567689002650701, 0.7647357290900068, 0.32200803091972696, 0.8984432351475544, 0.00010237407447546074, 0.9335148382320768, 0.033766656603389726, 0.38423984083677765, 4.359546970693554e-08, 0.5411680647223583, 0.9893642565588889, 0.9967230885556471, 0.9554900544423393, 0.0917750318531503]"
S3_Wav2Vec,RandomForest,ALL,smote,3,0.6731,0.1029,0.7059,0.5489,0.55,0.51,-0.1242,152.4,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0.4829000000000001, 0.3792999999999999, 0.3566666666666666, 0.5358666666666666, 0.23215238095238103, 0.3288333333333333, 0.3651, 0.39789999999999986, 0.3169666666666666, 0.6532285714285714, 0.2801809523809524, 0.39164761904761913, 0.43376666666666663, 0.363004761904762, 0.2642, 0.28446666666666653, 0.5710999999999999, 0.5375666666666666, 0.6592857142857144, 0.33606666666666674]"
