scenario,model,best_K,balancing,best_cfg_idx,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S3_Wav2Vec,SVM,65,smoteenn,1,0.6765,0.067,0.7074,0.5604,0.6,0.53,-0.1161,15.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.7840110237206115, 0.12937212924928682, 0.39381394675744325, 0.7991389493477872, 0.3888838803398535, 0.10758592946569275, 0.7133036447910654, 0.20812872413554345, 0.407934314556744, 0.9106416060264529, 0.12414314646928405, 0.6000225410553643, 0.23187231744433695, 0.37491967093334577, 0.3943448949717467, 0.4114956203222143, 0.883334539289221, 0.9368553976217141, 0.9853711955126265, 0.051492628569661934]"
S3_Wav2Vec,XGBoost,ALL,smoteenn,5,0.5597,0.1111,0.5838,0.6491,0.65,0.61,0.0894,14.7,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[0.9184831976890564, 0.10730466991662979, 0.05116900056600571, 0.6143317818641663, 0.5608110427856445, 0.1514849066734314, 0.9813217520713806, 0.011821990832686424, 0.09631931781768799, 0.9800295233726501, 0.8087688684463501, 0.9896290898323059, 0.43174511194229126, 0.4428105354309082, 0.7128477096557617, 0.7085237503051758, 0.11767592281103134, 0.9489650130271912, 0.8415429592132568, 0.016047148033976555]"
S4_Fusion,LogisticRegression,30,smoteenn,0,0.6593,0.0334,0.7199,0.6267,0.65,0.57,-0.0326,105.1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.8378528244421024, 0.3880134426089263, 0.3029384811463545, 0.7105726928592146, 0.24265382895284418, 0.7193346331675065, 0.5303562018867456, 0.1682636323895144, 0.5193305208166021, 0.7146439665253018, 0.5612743326905316, 0.38050212607810396, 0.2742431248905675, 0.7317598869976736, 0.10222372994702057, 0.6146567937666714, 0.7441504329625745, 0.857114262192167, 0.7920561231055904, 0.32930576846279513]"
S4_Fusion,RandomForest,50,smoteenn,2,0.675,0.0064,0.7309,0.5489,0.55,0.475,-0.1262,90.8,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.904, 0.566, 0.588, 0.81, 0.684, 0.59, 0.524, 0.116, 0.584, 0.952, 0.662, 0.54, 0.406, 0.766, 0.402, 0.55, 0.87, 0.952, 0.958, 0.35]"
S4_Fusion,SVM,50,smoteenn,1,0.6646,0.0773,0.7206,0.596,0.6,0.54,-0.0687,70.7,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.8349425743269298, 0.25794803497250185, 0.3693344467422172, 0.8883619483025147, 0.22550943545713867, 0.6897174450494039, 0.5786818253065531, 0.22391739937084085, 0.5164010464988035, 0.9648041596183443, 0.3910877268818137, 0.37067498928390746, 0.3490379352000198, 0.7379831013015782, 0.15266995336782768, 0.7205135709980577, 0.8729779193958832, 0.9004116141218834, 0.9090689275882412, 0.27997074905650815]"
S4_Fusion,XGBoost,60,smoteenn,1,0.5509,0.0609,0.5713,0.5,0.5,0.43,-0.0509,55.8,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9765466451644897, 0.9613650441169739, 0.6357669830322266, 0.9443379640579224, 0.8217441439628601, 0.9103776216506958, 0.49637845158576965, 0.25840702652931213, 0.5573489665985107, 0.9701960682868958, 0.8402891159057617, 0.6793652772903442, 0.1771281659603119, 0.9231576323509216, 0.2720600366592407, 0.4853346049785614, 0.8301001191139221, 0.9788652658462524, 0.980201780796051, 0.31346890330314636]"
S5_FusionEng,LogisticRegression,50,smoteenn,10,0.6376,0.0793,0.7081,0.6267,0.65,0.54,-0.0109,385.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9586227772955059, 0.17910742170568875, 0.13984621974682415, 0.6998921466535776, 0.41450219079469336, 0.5783303095395061, 0.37698742850807443, 0.17132750687097353, 0.6299609761842606, 0.6335303521234461, 0.31931865428112965, 0.20560485750354027, 0.3215367411073279, 0.7752600786570922, 0.1566760587103892, 0.22991135239737354, 0.952746476619056, 0.9598228454497302, 0.8194027991141, 0.39327742260278703]"
S5_FusionEng,RandomForest,80,smoteenn,0,0.6759,0.0566,0.7199,0.5,0.5,0.425,-0.1759,232.9,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.942, 0.714, 0.446, 0.98, 0.632, 0.904, 0.448, 0.222, 0.748, 0.968, 0.738, 0.364, 0.134, 0.98, 0.108, 0.6, 0.804, 0.932, 0.992, 0.358]"
S5_FusionEng,SVM,50,smoteenn,7,0.6605,0.028,0.7074,0.6875,0.7,0.63,0.027,258.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.9911042519780093, 0.04726395266744622, 0.012437890431661245, 0.7982519377151611, 0.07940061335729165, 0.7458750932099659, 0.28575165376004036, 0.01234415132734072, 0.5401469686134923, 0.7020861424992024, 0.412492308401233, 0.15369741446315235, 0.21294567217861432, 0.8491698508872204, 0.0027893373781513356, 0.8467320029798752, 0.9859396214473521, 0.9999937290995513, 0.9599342574364086, 0.164359684391504]"
S5_FusionEng,XGBoost,50,smoteenn,3,0.6967,0.1128,0.7463,0.52,0.55,0.42,-0.1767,199.3,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.989012598991394, 0.39815279841423035, 0.17927755415439606, 0.9113999605178833, 0.32555389404296875, 0.5480697154998779, 0.22871890664100647, 0.06289250403642654, 0.8532260656356812, 0.8907269239425659, 0.19148549437522888, 0.2382006049156189, 0.09573991596698761, 0.7354034781455994, 0.10785520821809769, 0.08782680332660675, 0.9252967238426208, 0.9765363931655884, 0.9688743352890015, 0.09496859461069107]"
S1_Spectrogram,WtdVoting,30,smoteenn,-1,0.676,0.0644,0.7184,0.6491,0.65,0.6,-0.0268,5.8,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[0.9428812850742722, 0.18639248047917165, 0.6717100979648153, 0.5411621572661723, 0.0922799813089377, 0.8646414605322884, 0.12961406582902327, 0.281423958497707, 0.3312237997303469, 0.9037546376458223, 0.7216612286455871, 0.07921142247010876, 0.7228440375887663, 0.7388610124275761, 0.14276074620332688, 0.9598581982726335, 0.5037835716359035, 0.9300459121385655, 0.8660059240558523, 0.48215776676913946]"
S2_MFCC,WtdVoting,30,smoteenn,-1,0.6802,0.0339,0.7316,0.5833,0.6,0.54,-0.0969,6.3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0.950017790787111, 0.20938215433113747, 0.5541304209753876, 0.6384331455248423, 0.3496031434956559, 0.456734768256677, 0.6587330487614187, 0.33312428050199416, 0.6471379178010845, 0.9427602093856571, 0.47060338246440386, 0.30439206057646595, 0.5889895681544215, 0.5303228470280351, 0.3523343058783846, 0.7444510982872738, 0.9412173259449872, 0.9512265751921886, 0.9299874595969575, 0.4021346229245186]"
S3_Wav2Vec,WtdVoting,60,smoteenn,-1,0.6583,0.089,0.6831,0.6,0.6,0.58,-0.0583,5.4,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]","[0.7988773369695652, 0.10173732325441173, 0.3544077674063896, 0.8089826165922682, 0.372756233063359, 0.1883700962266063, 0.6196323060668044, 0.17357644339624437, 0.3356527584151326, 0.8603136347715676, 0.1483543046657318, 0.722399310282956, 0.3758368064337248, 0.4546421158152802, 0.5792403794657758, 0.3502150070028278, 0.790827962831643, 0.8979396352284522, 0.9401479214504718, 0.12784292881506526]"
S4_Fusion,WtdVoting,30,smoteenn,-1,0.7138,0.0496,0.7566,0.5489,0.55,0.47,-0.165,4.8,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.8858072888152562, 0.49826353951222285, 0.44174780695588345, 0.7039658929646466, 0.3402223054116116, 0.6638291979949339, 0.505954778172108, 0.19689833115652422, 0.43728076655292475, 0.9008072734892756, 0.5645117481185558, 0.43940440367574396, 0.3597826289863509, 0.6090428412464212, 0.2435726994782944, 0.35713390560523434, 0.860918109925141, 0.8977507328554679, 0.8993275089073319, 0.2696477517505408]"
S5_FusionEng,WtdVoting,50,smoteenn,-1,0.7132,0.0542,0.7691,0.6267,0.65,0.49,-0.0865,10.6,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0.9286026178266911, 0.2306871918972847, 0.1336188926522092, 0.8004927159739093, 0.3343642173444503, 0.5382282259116598, 0.4390898309762688, 0.0749300690542191, 0.4817786671350055, 0.6382775115087888, 0.1743852828600687, 0.12808081126030055, 0.2127425910269105, 0.8288612010803529, 0.06450057870036154, 0.28461971704291983, 0.8963640528110817, 0.9536580841402555, 0.8669282299848093, 0.3587810102679138]"
