Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top2,0.6266861863431977,0.5600000000000003,0.5303215303215304
MFCC,Logistic Regression,0.6167471819645732,0.58,0.5299145299145299
Ensemble,Top4,0.6029411764705883,0.5800000000000003,0.46805046805046807
Fusion_All,Logistic Regression,0.6003388753574076,0.58,0.5433455433455434
Wav2Vec_Full,SVM,0.5986111111111111,0.56,0.35653235653235654
MFCC,SVM,0.5901785714285714,0.59,0.5132275132275131
Wav2Vec_Full,Logistic Regression,0.5888372093023255,0.55,0.5160765160765162
Ensemble,Top3,0.5867803837953092,0.5400000000000003,0.4623524623524624
Fusion_All,SVM,0.5867803837953092,0.55,0.505901505901506
Spectrogram,SVM,0.5805921052631579,0.51,0.48921448921448923
Spectrogram,Logistic Regression,0.5674107142857143,0.55,0.5466015466015466
Spectrogram,Random Forest,0.546218487394958,0.46,0.4892144892144892
MFCC,Random Forest,0.5371333702268954,0.52,0.428978428978429
Wav2Vec_Full,XGBoost,0.5255813953488373,0.62,0.48107448107448103
Fusion_All,Random Forest,0.5226525938464602,0.48,0.42572242572242575
Spectrogram,XGBoost,0.5195616649043545,0.44,0.48026048026048024
Wav2Vec_Full,Random Forest,0.5147058823529412,0.52,0.44485144485144484
MFCC,XGBoost,0.5145316455696203,0.65,0.43956043956043955
Fusion_All,XGBoost,0.4680437672563657,0.66,0.4163614163614164
