Dataset,Model,F1,Thr,AUC
MFCC_AudioOnly,XGBoost,0.6180528182893181,0.38,0.5934065934065934
MFCC_AudioOnly,Random Forest,0.6154761904761905,0.44,0.5852665852665854
Multimodal_MFCC,Random Forest,0.5952380952380952,0.44,0.5807895807895809
TextOnly,Random Forest,0.5888441006645604,0.55,0.5999185999185999
TextOnly,XGBoost,0.569112879457707,0.39,0.5934065934065934
Multimodal_MFCC,XGBoost,0.5215351812366738,0.61,0.4477004477004477
