Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
K110|ENN5|s7|a0.001|lr0.0003,0.8516,0.8696,0.8492,0.8333,0.74
K110|ENN5|s7|a0.001|lr0.001,0.8516,0.8696,0.8492,0.8333,0.725
K110|ENN5|s7|a0.01|lr0.001,0.8516,0.8696,0.8492,0.8333,0.725
K110|ENN5|s7|a0.01|lr0.0003,0.8516,0.8696,0.8492,0.8333,0.74
K108|ENN2|s7|a0.05|lr0.0003,0.8516,0.8696,0.746,0.8333,0.73
K108|ENN2|s7|a0.05|lr0.0005,0.8516,0.8696,0.7619,0.8333,0.725
K107|ENN3|s0|a0.01|lr0.0005,0.8516,0.8696,0.8175,0.8333,0.73
K107|ENN3|s0|a0.01|lr0.001,0.8516,0.8696,0.8175,0.8333,0.74
K108|ENN2|s7|a0.01|lr0.0005,0.8516,0.8696,0.7619,0.8333,0.725
K108|ENN2|s7|a0.01|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.71
K108|ENN2|s7|a0.001|lr0.0005,0.8516,0.8696,0.7619,0.8333,0.725
K108|ENN2|s7|a0.001|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.71
K107|ENN2|s0|a0.05|lr0.0005,0.8516,0.8696,0.754,0.8333,0.665
K107|ENN2|s0|a0.05|lr0.001,0.8516,0.8696,0.8095,0.8333,0.665
K107|ENN2|s0|a0.01|lr0.001,0.8516,0.8696,0.8095,0.8333,0.665
K110|ENN5|s7|a0.0001|lr0.001,0.8516,0.8696,0.8492,0.8333,0.725
K107|ENN2|s0|a0.0001|lr0.0005,0.8516,0.8696,0.754,0.8333,0.665
K107|ENN2|s0|a0.01|lr0.0005,0.8516,0.8696,0.754,0.8333,0.665
K107|ENN2|s0|a0.001|lr0.001,0.8516,0.8696,0.8095,0.8333,0.665
K107|ENN2|s0|a0.001|lr0.0005,0.8516,0.8696,0.754,0.8333,0.665
K107|ENN2|s0|a0.0001|lr0.001,0.8516,0.8696,0.8095,0.8333,0.665
K110|ENN5|s7|a0.0001|lr0.0003,0.8516,0.8696,0.8492,0.8333,0.74
K110|ENN5|s7|a0.05|lr0.0003,0.8516,0.8696,0.8492,0.8333,0.74
K110|ENN5|s7|a0.05|lr0.001,0.8516,0.8696,0.8492,0.8333,0.725
K107|ENN3|s0|a0.001|lr0.0003,0.8516,0.8696,0.8175,0.8333,0.72
K107|ENN3|s0|a0.001|lr0.0005,0.8516,0.8696,0.8175,0.8333,0.73
K107|ENN3|s0|a0.001|lr0.001,0.8516,0.8696,0.8175,0.8333,0.74
K107|ENN3|s0|a0.01|lr0.0003,0.8516,0.8696,0.8175,0.8333,0.72
K107|ENN3|s7|a0.0001|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.815
K107|ENN3|s0|a0.05|lr0.001,0.8516,0.8696,0.8254,0.8333,0.74
K107|ENN3|s0|a0.05|lr0.0003,0.8516,0.8696,0.8175,0.8333,0.72
K107|ENN3|s0|a0.05|lr0.0005,0.8516,0.8696,0.8175,0.8333,0.73
K107|ENN3|s0|a0.0001|lr0.0003,0.8516,0.8696,0.8175,0.8333,0.72
K107|ENN3|s0|a0.0001|lr0.0005,0.8516,0.8696,0.8175,0.8333,0.73
K107|ENN3|s7|a0.0001|lr0.0005,0.8516,0.8696,0.7619,0.8333,0.85
K107|ENN3|s0|a0.0001|lr0.001,0.8516,0.8696,0.8175,0.8333,0.74
K107|ENN3|s7|a0.05|lr0.0005,0.8516,0.8696,0.754,0.8333,0.85
K107|ENN3|s7|a0.05|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.815
K107|ENN3|s7|a0.01|lr0.0005,0.8516,0.8696,0.754,0.8333,0.85
K107|ENN3|s7|a0.01|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.815
K108|ENN2|s7|a0.0001|lr0.0005,0.8516,0.8696,0.7619,0.8333,0.725
K108|ENN2|s7|a0.0001|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.71
K107|ENN3|s7|a0.001|lr0.0005,0.8516,0.8696,0.754,0.8333,0.85
K107|ENN3|s7|a0.001|lr0.0003,0.8516,0.8696,0.7619,0.8333,0.815
K110|ENN3|s7|a0.0001|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.645
K110|ENN3|s7|a0.05|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.645
K110|ENN4|s7|a0.0001|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.65
K110|ENN3|s7|a0.001|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.645
K110|ENN3|s7|a0.01|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.645
K110|ENN4|s7|a0.05|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.65
K110|ENN4|s7|a0.01|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.65
K110|ENN4|s7|a0.001|lr0.0003,0.8258,0.8261,0.9048,0.8571,0.65
K120|ENN3|s13|a0.01|lr0.0005,0.8231,0.8261,0.7937,0.8373,0.52
K120|ENN3|s13|a0.01|lr0.001,0.8231,0.8261,0.7937,0.8373,0.52
K120|ENN3|s13|a0.05|lr0.0003,0.8231,0.8261,0.7857,0.8373,0.525
K120|ENN3|s13|a0.05|lr0.0005,0.8231,0.8261,0.7937,0.8373,0.52
K120|ENN3|s13|a0.05|lr0.001,0.8231,0.8261,0.8016,0.8373,0.52
K120|ENN3|s13|a0.0001|lr0.0003,0.8231,0.8261,0.7937,0.8373,0.525
K120|ENN3|s13|a0.0001|lr0.0005,0.8231,0.8261,0.7937,0.8373,0.52
K120|ENN3|s13|a0.0001|lr0.001,0.8231,0.8261,0.8016,0.8373,0.52
K120|ENN3|s13|a0.01|lr0.0003,0.8231,0.8261,0.7937,0.8373,0.525
K120|ENN3|s13|a0.001|lr0.001,0.8231,0.8261,0.8016,0.8373,0.52
K120|ENN3|s13|a0.001|lr0.0005,0.8231,0.8261,0.7937,0.8373,0.52
K120|ENN3|s13|a0.001|lr0.0003,0.8231,0.8261,0.7857,0.8373,0.525
K95|ENN5|s13|a0.05|lr0.0003,0.8231,0.8261,0.8333,0.8373,0.505
K95|ENN5|s13|a0.0001|lr0.0003,0.8231,0.8261,0.8254,0.8373,0.505
K95|ENN5|s13|a0.01|lr0.0003,0.8231,0.8261,0.8333,0.8373,0.505
K95|ENN5|s13|a0.001|lr0.0003,0.8231,0.8261,0.8254,0.8373,0.505
K95|ENN5|s13|a0.001|lr0.0005,0.8175,0.8261,0.8175,0.8175,0.515
K95|ENN5|s13|a0.01|lr0.0005,0.8175,0.8261,0.8175,0.8175,0.515
K95|ENN5|s13|a0.0001|lr0.0005,0.8175,0.8261,0.8175,0.8175,0.515
K111|ENN2|s42|a0.05|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.7
K111|ENN2|s42|a0.05|lr0.001,0.8175,0.8261,0.8016,0.8175,0.705
arch600x300x150x75|s21|a0.0001|lr0.001,0.8175,0.8261,0.8095,0.8175,0.92
arch600x300x150x75|s21|a0.001|lr0.001,0.8175,0.8261,0.8095,0.8175,0.92
K111|ENN2|s42|a0.05|lr0.0003,0.8175,0.8261,0.8095,0.8175,0.685
K111|ENN2|s42|a0.01|lr0.001,0.8175,0.8261,0.8016,0.8175,0.705
arch600x300x150x75|s21|a0.01|lr0.001,0.8175,0.8261,0.8095,0.8175,0.915
K95|ENN5|s13|a0.05|lr0.0005,0.8175,0.8261,0.8254,0.8175,0.515
K95|ENN3|s13|a0.05|lr0.0005,0.8175,0.8261,0.8254,0.8175,0.565
K95|ENN3|s13|a0.05|lr0.001,0.8175,0.8261,0.8254,0.8175,0.565
K95|ENN3|s13|a0.001|lr0.001,0.8175,0.8261,0.8254,0.8175,0.57
K95|ENN3|s13|a0.01|lr0.0003,0.8175,0.8261,0.8254,0.8175,0.58
K95|ENN3|s13|a0.01|lr0.0005,0.8175,0.8261,0.8254,0.8175,0.57
K95|ENN3|s13|a0.01|lr0.001,0.8175,0.8261,0.8254,0.8175,0.57
K95|ENN3|s13|a0.05|lr0.0003,0.8175,0.8261,0.8254,0.8175,0.58
K95|ENN3|s13|a0.001|lr0.0003,0.8175,0.8261,0.8254,0.8175,0.58
K95|ENN3|s13|a0.001|lr0.0005,0.8175,0.8261,0.8254,0.8175,0.57
arch600x300x150x75|s21|a0.05|lr0.001,0.8175,0.8261,0.8095,0.8175,0.915
K120|ENN4|s13|a0.05|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.495
K120|ENN4|s13|a0.01|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.495
K95|ENN3|s13|a0.0001|lr0.0003,0.8175,0.8261,0.8175,0.8175,0.58
K95|ENN3|s13|a0.0001|lr0.0005,0.8175,0.8261,0.8254,0.8175,0.57
K95|ENN3|s13|a0.0001|lr0.001,0.8175,0.8261,0.8254,0.8175,0.57
K112|ENN3|s42|a0.01|lr0.0003,0.8175,0.8261,0.754,0.8175,0.535
K112|ENN3|s42|a0.05|lr0.0003,0.8175,0.8261,0.754,0.8175,0.535
K112|ENN3|s42|a0.05|lr0.001,0.8175,0.8261,0.7698,0.8175,0.545
K111|ENN2|s42|a0.01|lr0.0003,0.8175,0.8261,0.8095,0.8175,0.685
K111|ENN2|s42|a0.01|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.7
K111|ENN2|s42|a0.001|lr0.001,0.8175,0.8261,0.8016,0.8175,0.705
K111|ENN2|s42|a0.0001|lr0.0003,0.8175,0.8261,0.8095,0.8175,0.685
K111|ENN2|s42|a0.001|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.705
K111|ENN2|s42|a0.001|lr0.0003,0.8175,0.8261,0.8095,0.8175,0.685
K111|ENN2|s42|a0.0001|lr0.001,0.8175,0.8261,0.8095,0.8175,0.705
K110|ENN2|s7|a0.001|lr0.001,0.8175,0.8261,0.8175,0.8175,0.655
arch300x200x100x50x25|s99|a0.01|lr0.001,0.8175,0.8261,0.7381,0.8175,0.91
arch300x200x100x50x25|s99|a0.05|lr0.001,0.8175,0.8261,0.7619,0.8175,0.895
K95|ENN3|s33|a0.01|lr0.0003,0.8175,0.8261,0.7857,0.8175,0.88
K95|ENN3|s33|a0.01|lr0.0005,0.8175,0.8261,0.7778,0.8175,0.88
K95|ENN3|s33|a0.01|lr0.001,0.8175,0.8261,0.7857,0.8175,0.9
K95|ENN3|s33|a0.05|lr0.0003,0.8175,0.8261,0.7857,0.8175,0.875
K95|ENN3|s33|a0.05|lr0.0005,0.8175,0.8261,0.7778,0.8175,0.88
K110|ENN2|s7|a0.0001|lr0.001,0.8175,0.8261,0.8175,0.8175,0.655
K95|ENN3|s33|a0.001|lr0.0005,0.8175,0.8261,0.7778,0.8175,0.885
K95|ENN3|s33|a0.001|lr0.0003,0.8175,0.8261,0.7857,0.8175,0.88
K95|ENN3|s33|a0.0001|lr0.0005,0.8175,0.8261,0.7778,0.8175,0.885
K95|ENN3|s33|a0.0001|lr0.0003,0.8175,0.8261,0.7857,0.8175,0.88
K110|ENN2|s7|a0.01|lr0.001,0.8175,0.8261,0.8175,0.8175,0.655
K110|ENN2|s7|a0.05|lr0.001,0.8175,0.8261,0.8175,0.8175,0.655
arch300x200x100x50x25|s99|a0.001|lr0.001,0.8175,0.8261,0.7381,0.8175,0.915
arch300x200x100x50x25|s99|a0.0001|lr0.001,0.8175,0.8261,0.746,0.8175,0.915
K111|ENN2|s42|a0.0001|lr0.0005,0.8175,0.8261,0.8016,0.8175,0.705
K112|ENN3|s42|a0.0001|lr0.0003,0.8175,0.8261,0.754,0.8175,0.535
K112|ENN3|s42|a0.0001|lr0.001,0.8175,0.8261,0.7698,0.8175,0.545
K112|ENN3|s42|a0.01|lr0.001,0.8175,0.8261,0.7698,0.8175,0.545
K112|ENN3|s42|a0.001|lr0.001,0.8175,0.8261,0.7698,0.8175,0.545
K112|ENN3|s42|a0.001|lr0.0003,0.8175,0.8261,0.754,0.8175,0.535
K95|ENN3|s33|a0.05|lr0.001,0.8175,0.8261,0.7778,0.8175,0.895
K95|ENN3|s99|a0.01|lr0.0005,0.8083,0.8261,0.6984,0.7976,0.605
K95|ENN3|s99|a0.0001|lr0.0003,0.8083,0.8261,0.7063,0.7976,0.59
K107|ENN5|s0|a0.0001|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.71
K95|ENN3|s99|a0.0001|lr0.001,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN3|s99|a0.01|lr0.001,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN3|s99|a0.01|lr0.0003,0.8083,0.8261,0.7063,0.7976,0.59
K95|ENN3|s99|a0.001|lr0.001,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN3|s99|a0.001|lr0.0003,0.8083,0.8261,0.7063,0.7976,0.59
K95|ENN3|s99|a0.001|lr0.0005,0.8083,0.8261,0.6984,0.7976,0.605
K107|ENN3|s7|a0.01|lr0.001,0.8083,0.8261,0.746,0.7976,0.865
K95|ENN4|s99|a0.001|lr0.0003,0.8083,0.8261,0.6825,0.7976,0.605
K95|ENN4|s99|a0.001|lr0.0005,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN4|s99|a0.001|lr0.001,0.8083,0.8261,0.7143,0.7976,0.63
K95|ENN5|s99|a0.01|lr0.001,0.8083,0.8261,0.7063,0.7976,0.645
K95|ENN5|s99|a0.001|lr0.001,0.8083,0.8261,0.7063,0.7976,0.645
K95|ENN4|s99|a0.0001|lr0.0005,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN4|s99|a0.0001|lr0.0003,0.8083,0.8261,0.6825,0.7976,0.605
K95|ENN4|s99|a0.0001|lr0.001,0.8083,0.8261,0.7143,0.7976,0.63
K95|ENN5|s99|a0.05|lr0.001,0.8083,0.8261,0.7063,0.7976,0.64
K95|ENN5|s99|a0.0001|lr0.001,0.8083,0.8261,0.7063,0.7976,0.645
K95|ENN3|s99|a0.0001|lr0.0005,0.8083,0.8261,0.6984,0.7976,0.605
arch400x300x200x100|s99|a0.0001|lr0.001,0.8083,0.8261,0.7778,0.7976,0.725
K107|ENN3|s7|a0.05|lr0.001,0.8083,0.8261,0.754,0.7976,0.865
arch400x300x200x100|s99|a0.001|lr0.001,0.8083,0.8261,0.7778,0.7976,0.725
K107|ENN3|s7|a0.001|lr0.001,0.8083,0.8261,0.746,0.7976,0.87
K95|ENN3|s99|a0.05|lr0.0005,0.8083,0.8261,0.6984,0.7976,0.605
K95|ENN3|s99|a0.05|lr0.0003,0.8083,0.8261,0.7063,0.7976,0.59
K108|ENN3|s7|a0.05|lr0.0005,0.8083,0.8261,0.7381,0.7976,0.63
K115|ENN3|s21|a0.0001|lr0.001,0.8083,0.8261,0.8333,0.7976,0.68
K108|ENN3|s7|a0.05|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.625
K108|ENN3|s7|a0.01|lr0.0005,0.8083,0.8261,0.7381,0.7976,0.63
K108|ENN3|s7|a0.001|lr0.0005,0.8083,0.8261,0.7381,0.7976,0.63
K95|ENN2|s99|a0.0001|lr0.0003,0.8083,0.8261,0.7302,0.7976,0.595
K115|ENN4|s76|a0.05|lr0.001,0.8083,0.8261,0.746,0.7976,0.585
K115|ENN4|s76|a0.01|lr0.001,0.8083,0.8261,0.746,0.7976,0.585
K108|ENN3|s7|a0.001|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.625
K120|ENN2|s99|a0.05|lr0.001,0.8083,0.8261,0.7063,0.7976,0.575
K115|ENN4|s76|a0.001|lr0.001,0.8083,0.8261,0.746,0.7976,0.585
K107|ENN3|s7|a0.0001|lr0.001,0.8083,0.8261,0.746,0.7976,0.87
arch400x200x100x50|s99|a0.01|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.79
K108|ENN3|s7|a0.01|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.625
K95|ENN2|s99|a0.001|lr0.0003,0.8083,0.8261,0.7302,0.7976,0.595
K90|ENN3|s76|a0.05|lr0.0003,0.8083,0.8261,0.7698,0.7976,0.575
K95|ENN3|s99|a0.05|lr0.001,0.8083,0.8261,0.7222,0.7976,0.63
K107|ENN5|s0|a0.001|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.71
K108|ENN3|s7|a0.0001|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.625
K108|ENN3|s7|a0.0001|lr0.0005,0.8083,0.8261,0.7381,0.7976,0.63
K107|ENN5|s0|a0.01|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.71
K107|ENN5|s0|a0.05|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.71
K90|ENN3|s76|a0.001|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.575
K90|ENN3|s76|a0.01|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.575
arch400x200x100x50|s99|a0.0001|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.795
arch400x200x100x50|s99|a0.0001|lr0.0005,0.8083,0.8261,0.7302,0.7976,0.815
arch400x200x100x50|s99|a0.001|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.79
arch400x200x100x50|s99|a0.001|lr0.0005,0.8083,0.8261,0.7302,0.7976,0.815
K115|ENN3|s21|a0.05|lr0.001,0.8083,0.8261,0.8254,0.7976,0.68
K115|ENN4|s76|a0.0001|lr0.001,0.8083,0.8261,0.746,0.7976,0.585
arch512x256x128x64x32|s42|a0.05|lr0.001,0.8083,0.8261,0.6905,0.7976,0.53
K107|ENN2|s0|a0.001|lr0.0003,0.8083,0.8261,0.746,0.7976,0.635
K107|ENN2|s0|a0.01|lr0.0003,0.8083,0.8261,0.746,0.7976,0.635
K107|ENN2|s0|a0.05|lr0.0003,0.8083,0.8261,0.746,0.7976,0.635
K110|ENN2|s7|a0.01|lr0.0005,0.8083,0.8261,0.8175,0.7976,0.68
K110|ENN2|s7|a0.05|lr0.0003,0.8083,0.8261,0.8175,0.7976,0.675
K110|ENN2|s7|a0.05|lr0.0005,0.8083,0.8261,0.8175,0.7976,0.68
arch512x256x128x64x32|s42|a0.01|lr0.001,0.8083,0.8261,0.6905,0.7976,0.53
K110|ENN2|s7|a0.01|lr0.0003,0.8083,0.8261,0.8175,0.7976,0.675
K115|ENN3|s21|a0.01|lr0.001,0.8083,0.8261,0.8254,0.7976,0.68
K95|ENN2|s99|a0.05|lr0.0003,0.8083,0.8261,0.7302,0.7976,0.595
K95|ENN2|s99|a0.01|lr0.0003,0.8083,0.8261,0.7302,0.7976,0.595
K110|ENN2|s7|a0.0001|lr0.0003,0.8083,0.8261,0.8175,0.7976,0.675
K110|ENN2|s7|a0.0001|lr0.0005,0.8083,0.8261,0.8175,0.7976,0.68
K110|ENN2|s7|a0.001|lr0.0003,0.8083,0.8261,0.8175,0.7976,0.675
K110|ENN2|s7|a0.001|lr0.0005,0.8083,0.8261,0.8175,0.7976,0.68
K115|ENN3|s21|a0.001|lr0.001,0.8083,0.8261,0.8333,0.7976,0.68
arch400x200x100x50|s99|a0.05|lr0.0003,0.8083,0.8261,0.7381,0.7976,0.79
K90|ENN4|s21|a0.0001|lr0.001,0.8083,0.8261,0.7222,0.7976,0.59
K113|ENN2|s13|a0.05|lr0.0005,0.8083,0.8261,0.746,0.7976,0.54
K90|ENN5|s21|a0.01|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.595
K95|ENN4|s13|a0.001|lr0.0003,0.8083,0.8261,0.7857,0.7976,0.58
K95|ENN4|s13|a0.001|lr0.0005,0.8083,0.8261,0.7937,0.7976,0.585
K90|ENN4|s21|a0.001|lr0.001,0.8083,0.8261,0.7222,0.7976,0.59
K95|ENN4|s13|a0.01|lr0.0003,0.8083,0.8261,0.7857,0.7976,0.58
K95|ENN4|s13|a0.01|lr0.0005,0.8083,0.8261,0.7937,0.7976,0.585
K95|ENN4|s13|a0.05|lr0.0003,0.8083,0.8261,0.7857,0.7976,0.58
K95|ENN4|s13|a0.05|lr0.0005,0.8083,0.8261,0.7937,0.7976,0.585
K95|ENN4|s13|a0.0001|lr0.0003,0.8083,0.8261,0.7857,0.7976,0.58
K95|ENN4|s13|a0.0001|lr0.0005,0.8083,0.8261,0.7937,0.7976,0.585
K107|ENN2|s0|a0.0001|lr0.0003,0.8083,0.8261,0.746,0.7976,0.635
arch512x256x128x64x32|s42|a0.0001|lr0.001,0.8083,0.8261,0.6905,0.7976,0.53
K95|ENN4|s99|a0.01|lr0.0003,0.8083,0.8261,0.6825,0.7976,0.605
K113|ENN2|s13|a0.01|lr0.0005,0.8083,0.8261,0.746,0.7976,0.54
K113|ENN2|s13|a0.01|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.54
K113|ENN2|s13|a0.001|lr0.0005,0.8083,0.8261,0.746,0.7976,0.54
K113|ENN2|s13|a0.001|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.54
K113|ENN2|s13|a0.0001|lr0.0005,0.8083,0.8261,0.746,0.7976,0.54
K113|ENN2|s13|a0.0001|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.54
K90|ENN4|s21|a0.05|lr0.001,0.8083,0.8261,0.7222,0.7976,0.59
K90|ENN4|s21|a0.01|lr0.001,0.8083,0.8261,0.7222,0.7976,0.59
K90|ENN5|s21|a0.001|lr0.0003,0.8083,0.8261,0.7698,0.7976,0.59
K90|ENN5|s21|a0.0001|lr0.0005,0.8083,0.8261,0.7778,0.7976,0.595
K90|ENN5|s21|a0.0001|lr0.0003,0.8083,0.8261,0.7698,0.7976,0.59
K110|ENN5|s7|a0.0001|lr0.0005,0.8083,0.8261,0.8254,0.7976,0.74
K90|ENN5|s21|a0.05|lr0.0005,0.8083,0.8261,0.7698,0.7976,0.595
K90|ENN5|s21|a0.05|lr0.0003,0.8083,0.8261,0.7698,0.7976,0.59
arch512x256x128x64x32|s42|a0.001|lr0.001,0.8083,0.8261,0.6905,0.7976,0.53
K110|ENN5|s7|a0.01|lr0.0005,0.8083,0.8261,0.8254,0.7976,0.74
K110|ENN5|s7|a0.001|lr0.0005,0.8083,0.8261,0.8254,0.7976,0.74
K110|ENN5|s7|a0.05|lr0.0005,0.8083,0.8261,0.8333,0.7976,0.74
K95|ENN4|s99|a0.05|lr0.0005,0.8083,0.8261,0.7222,0.7976,0.63
K95|ENN4|s99|a0.05|lr0.001,0.8083,0.8261,0.7143,0.7976,0.63
K113|ENN2|s13|a0.05|lr0.0003,0.8083,0.8261,0.7619,0.7976,0.545
K90|ENN5|s21|a0.001|lr0.0005,0.8083,0.8261,0.7778,0.7976,0.595
K90|ENN5|s21|a0.01|lr0.0003,0.8083,0.8261,0.7698,0.7976,0.59
K95|ENN4|s99|a0.01|lr0.001,0.8083,0.8261,0.7143,0.7976,0.63
K95|ENN4|s99|a0.05|lr0.0003,0.8083,0.8261,0.6825,0.7976,0.605
K95|ENN4|s99|a0.01|lr0.0005,0.8083,0.8261,0.7222,0.7976,0.63
K90|ENN5|s42|a0.05|lr0.001,0.8083,0.8261,0.7381,0.7976,0.57
K90|ENN5|s42|a0.01|lr0.001,0.8083,0.8261,0.7302,0.7976,0.57
K90|ENN5|s42|a0.001|lr0.001,0.8083,0.8261,0.7302,0.7976,0.57
K90|ENN5|s42|a0.0001|lr0.001,0.8083,0.8261,0.7302,0.7976,0.57
arch400x300x200x100|s99|a0.01|lr0.001,0.8083,0.8261,0.7778,0.7976,0.725
arch512x256x128x64x32|s0|a0.0001|lr0.0003,0.7946,0.8261,0.7302,0.7778,0.92
arch512x256x128x64x32|s0|a0.0001|lr0.0005,0.7946,0.8261,0.7302,0.7778,0.92
arch512x256x128x64x32|s0|a0.001|lr0.0003,0.7946,0.8261,0.7143,0.7778,0.91
arch512x256x128x64x32|s0|a0.001|lr0.0005,0.7946,0.8261,0.7222,0.7778,0.92
arch512x256x128x64x32|s0|a0.01|lr0.0003,0.7946,0.8261,0.7302,0.7778,0.92
arch512x256x128x64x32|s0|a0.05|lr0.0003,0.7946,0.8261,0.7302,0.7778,0.915
arch512x256x128x64x32|s0|a0.05|lr0.0005,0.7946,0.8261,0.7063,0.7778,0.92
