Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
K110|ENN4|s7|a0.0001|lr0.0005,0.8686,0.8696,0.9365,0.8929,0.655
K110|ENN4|s7|a0.05|lr0.0005,0.8686,0.8696,0.9365,0.8929,0.655
K110|ENN4|s7|a0.001|lr0.0005,0.8686,0.8696,0.9365,0.8929,0.655
K110|ENN4|s7|a0.01|lr0.0005,0.8686,0.8696,0.9365,0.8929,0.655
K95|ENN2|s13|a0.0001|lr0.0003,0.8655,0.8696,0.8571,0.873,0.535
K95|ENN2|s13|a0.0001|lr0.0005,0.8655,0.8696,0.8571,0.873,0.535
K95|ENN2|s13|a0.05|lr0.0003,0.8655,0.8696,0.8492,0.873,0.535
K95|ENN2|s13|a0.05|lr0.0005,0.8655,0.8696,0.8492,0.873,0.535
K95|ENN2|s13|a0.001|lr0.0003,0.8655,0.8696,0.8571,0.873,0.535
K95|ENN2|s13|a0.001|lr0.0005,0.8655,0.8696,0.8571,0.873,0.535
K95|ENN2|s13|a0.01|lr0.0003,0.8655,0.8696,0.8492,0.873,0.535
K95|ENN2|s13|a0.01|lr0.0005,0.8655,0.8696,0.8571,0.873,0.535
K95|ENN5|s13|a0.01|lr0.001,0.8655,0.8696,0.8571,0.873,0.545
K95|ENN5|s13|a0.001|lr0.001,0.8655,0.8696,0.8492,0.873,0.545
K95|ENN5|s13|a0.0001|lr0.001,0.8655,0.8696,0.8492,0.873,0.545
K100|ENN5|s13|a0.05|lr0.0005,0.86,0.8696,0.7381,0.8532,0.615
K100|ENN5|s13|a0.05|lr0.001,0.86,0.8696,0.7381,0.8532,0.62
K100|ENN5|s13|a0.0001|lr0.0003,0.86,0.8696,0.7381,0.8532,0.625
K100|ENN5|s13|a0.001|lr0.0005,0.86,0.8696,0.7302,0.8532,0.615
K100|ENN5|s13|a0.001|lr0.001,0.86,0.8696,0.7381,0.8532,0.62
K95|ENN2|s99|a0.05|lr0.0005,0.86,0.8696,0.746,0.8532,0.61
K100|ENN5|s13|a0.0001|lr0.001,0.86,0.8696,0.7381,0.8532,0.62
K100|ENN5|s13|a0.0001|lr0.0005,0.86,0.8696,0.7302,0.8532,0.615
K100|ENN5|s13|a0.001|lr0.0003,0.86,0.8696,0.746,0.8532,0.625
K115|ENN3|s21|a0.0001|lr0.0005,0.86,0.8696,0.8492,0.8532,0.66
K115|ENN3|s21|a0.0001|lr0.0003,0.86,0.8696,0.8413,0.8532,0.655
K95|ENN2|s99|a0.0001|lr0.0005,0.86,0.8696,0.746,0.8532,0.61
K95|ENN5|s13|a0.05|lr0.001,0.86,0.8696,0.8413,0.8532,0.565
K115|ENN3|s21|a0.05|lr0.0003,0.86,0.8696,0.8413,0.8532,0.655
K95|ENN2|s99|a0.001|lr0.0005,0.86,0.8696,0.746,0.8532,0.61
K95|ENN2|s99|a0.01|lr0.0005,0.86,0.8696,0.746,0.8532,0.61
K115|ENN3|s21|a0.05|lr0.0005,0.86,0.8696,0.8492,0.8532,0.66
K115|ENN3|s21|a0.001|lr0.0003,0.86,0.8696,0.8413,0.8532,0.655
K115|ENN3|s21|a0.001|lr0.0005,0.86,0.8696,0.8492,0.8532,0.66
K115|ENN3|s21|a0.01|lr0.0003,0.86,0.8696,0.8413,0.8532,0.65
K115|ENN3|s21|a0.01|lr0.0005,0.86,0.8696,0.8492,0.8532,0.66
K100|ENN5|s13|a0.01|lr0.0005,0.86,0.8696,0.7302,0.8532,0.615
K100|ENN5|s13|a0.01|lr0.0003,0.86,0.8696,0.746,0.8532,0.625
K100|ENN5|s13|a0.05|lr0.0003,0.86,0.8696,0.746,0.8532,0.625
K100|ENN5|s13|a0.01|lr0.001,0.86,0.8696,0.7381,0.8532,0.62
