Feature,Model,F1 (tuned),Best Thr,AUC
Fusion_All,Logistic Regression,0.667887667887668,0.51,0.6601546601546602
Ensemble,Top4,0.6504032258064516,0.46000000000000013,0.6174196174196174
Ensemble,Top2,0.6470588235294117,0.5300000000000002,0.5942205942205943
Ensemble,Top3,0.6416337285902503,0.5400000000000003,0.5901505901505901
MFCC,SVM,0.6136363636363636,0.47,0.5604395604395606
Fusion_All,SVM,0.6085287846481876,0.52,0.6267806267806268
MFCC,Logistic Regression,0.6085287846481876,0.53,0.5722425722425722
Spectrogram,Random Forest,0.5758835758835759,0.5,0.5063085063085063
MFCC,XGBoost,0.5677519379844961,0.55,0.4835164835164836
MFCC,Random Forest,0.5596217105263158,0.43,0.477004477004477
Wav2Vec_Full,Logistic Regression,0.5547619047619048,0.51,0.5111925111925112
Wav2Vec_Full,SVM,0.5547619047619048,0.36,0.512006512006512
Spectrogram,XGBoost,0.5510466988727858,0.66,0.5067155067155067
Spectrogram,Logistic Regression,0.5490716180371353,0.49,0.4953194953194953
Fusion_All,XGBoost,0.5474537037037037,0.34,0.5681725681725682
Wav2Vec_Full,XGBoost,0.5391713928674421,0.3,0.5270655270655271
Wav2Vec_Full,Random Forest,0.5381057905385875,0.32,0.52991452991453
Spectrogram,SVM,0.5306268534614991,0.42,0.4501424501424502
Fusion_All,Random Forest,0.5264990328820116,0.36,0.5563695563695563
