Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top2,0.652093023255814,0.5100000000000002,0.582010582010582
MFCC,SVM,0.6435032894736843,0.52,0.5848595848595849
Ensemble,Top3,0.6395010395010395,0.5100000000000002,0.5860805860805862
Ensemble,Top4,0.6395010395010395,0.5100000000000002,0.5824175824175823
MFCC,Random Forest,0.619235836627141,0.57,0.5746845746845747
Fusion_All,SVM,0.6023391812865497,0.36,0.5986975986975986
MFCC,Logistic Regression,0.5952380952380952,0.5,0.48310948310948315
Fusion_All,Random Forest,0.5805921052631579,0.47,0.5657305657305658
Wav2Vec_Full,SVM,0.5751435325903411,0.69,0.525030525030525
Fusion_All,XGBoost,0.5714704445530044,0.43,0.592999592999593
Fusion_All,Logistic Regression,0.5674107142857143,0.51,0.5303215303215304
Spectrogram,SVM,0.5413573146502144,0.56,0.43671143671143675
Spectrogram,Random Forest,0.5394752898108603,0.63,0.4729344729344729
Spectrogram,XGBoost,0.52914653784219,0.7,0.4790394790394791
MFCC,XGBoost,0.5188196326407708,0.66,0.46072446072446077
Wav2Vec_Full,XGBoost,0.517540402049665,0.55,0.47741147741147744
Wav2Vec_Full,Random Forest,0.5147058823529412,0.54,0.4745624745624745
Spectrogram,Logistic Regression,0.5023399382654585,0.5,0.46235246235246236
Wav2Vec_Full,Logistic Regression,0.4974379188017344,0.5,0.45909645909645913
