Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,Logistic Regression,0.655793025871766,0.52,0.6186406186406187
MFCC,SVM,0.6504032258064516,0.44,0.6308506308506309
Ensemble,Top3,0.650027670171555,0.5900000000000003,0.6092796092796094
Ensemble,Top2,0.6440391759540696,0.6100000000000003,0.6243386243386243
Ensemble,Top4,0.6242158717514688,0.4400000000000001,0.612942612942613
Fusion_All,Random Forest,0.619235836627141,0.55,0.5726495726495726
Fusion_All,SVM,0.6091954022988506,0.38,0.6092796092796093
Fusion_All,Logistic Regression,0.6056166056166056,0.52,0.5547415547415547
MFCC,Random Forest,0.5932099396666326,0.49,0.5807895807895808
Wav2Vec_Full,Logistic Regression,0.5888441006645604,0.56,0.5885225885225885
Wav2Vec_Full,SVM,0.5856866537717602,0.32,0.5618640618640619
Fusion_All,XGBoost,0.5808823529411764,0.66,0.5673585673585674
MFCC,XGBoost,0.5714704445530044,0.57,0.5234025234025235
Wav2Vec_Full,Random Forest,0.5714704445530044,0.4,0.5767195767195767
Wav2Vec_Full,XGBoost,0.5686274509803921,0.32,0.5571835571835572
Spectrogram,Random Forest,0.5188196326407708,0.44,0.4590964590964591
Spectrogram,SVM,0.5176809210526316,0.49,0.46967846967846966
Spectrogram,XGBoost,0.48524844720496896,0.44,0.4521774521774522
Spectrogram,Logistic Regression,0.4525569620253164,0.5,0.36385836385836384
