Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,SVM,0.6298387096774194,0.45,0.5417175417175417
Text_Only,Logistic Regression,0.622532894736842,0.52,0.5925925925925926
Fusion_Ultimate,SVM,0.6182952182952183,0.47,0.525030525030525
Text_Only,SVM,0.5921631347461016,0.44,0.5543345543345543
Ensemble,Top3,0.5891541408782788,0.4100000000000001,0.6027676027676028
Ensemble,Top7,0.582916855974557,0.5400000000000003,0.5710215710215709
Ensemble,Top5,0.5780663780663781,0.37000000000000005,0.5771265771265772
Wav2Vec_Full,SVM,0.5758835758835759,0.51,0.47496947496947495
Text_Only,LightGBM,0.5641025641025641,0.47,0.5413105413105413
Wav2Vec_Full,LightGBM,0.5626895325734602,0.57,0.5140415140415141
Wav2Vec_Full,XGBoost,0.5536322084994652,0.52,0.5453805453805454
Wav2Vec_Full,Random Forest,0.5492424242424242,0.51,0.5360195360195361
eGeMAPS,LightGBM,0.5488461538461539,0.3,0.5437525437525438
eGeMAPS,SVM,0.5466666666666666,0.6,0.4827024827024827
Text_Only,XGBoost,0.5403605015673981,0.55,0.49247049247049246
eGeMAPS,Random Forest,0.5391713928674421,0.39,0.5429385429385429
Wav2Vec_Full,Logistic Regression,0.5255813953488373,0.5,0.47252747252747257
eGeMAPS,XGBoost,0.5205777828728648,0.69,0.5311355311355312
Fusion_Ultimate,Logistic Regression,0.5203761755485893,0.31,0.4818884818884819
eGeMAPS,Logistic Regression,0.5176809210526316,0.56,0.4884004884004884
Text_Only,Random Forest,0.5145545102379635,0.52,0.4745624745624745
Fusion_Ultimate,LightGBM,0.5142857142857142,0.5,0.4574684574684575
Fusion_Ultimate,XGBoost,0.5139256592184687,0.69,0.47822547822547823
Fusion_Ultimate,Random Forest,0.4983438723276122,0.49,0.4472934472934473
MFCC,Logistic Regression,0.48484848484848486,0.65,0.40496540496540495
MFCC,XGBoost,0.460423197492163,0.64,0.3817663817663818
MFCC,Random Forest,0.456028442957231,0.54,0.3890923890923891
MFCC,LightGBM,0.456028442957231,0.62,0.36019536019536025
