Dataset,Model,F1,Thr,AUC
Multimodal_MFCC,Random Forest,0.707997311827957,0.43,0.6945578231292515
Multimodal_MFCC,XGBoost,0.6957282913165266,0.57,0.7251700680272108
MFCC_AudioOnly,Random Forest,0.6618729669577128,0.44,0.6612244897959183
MFCC_AudioOnly,XGBoost,0.6210090984284533,0.42,0.6455782312925171
TextOnly,XGBoost,0.5948717948717949,0.44,0.5687074829931973
TextOnly,Random Forest,0.5710541097172814,0.47,0.5908163265306122
