Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,SVM,0.678082992402104,0.7,0.6021571021571022
Ensemble,Top3,0.6640316205533596,0.5800000000000003,0.5986975986975988
MFCC,Logistic Regression,0.6608964805686117,0.57,0.6015466015466016
Ensemble,Top4,0.6440391759540696,0.5800000000000003,0.5856735856735857
Fusion_All,SVM,0.6310077519379844,0.56,0.6031746031746031
Ensemble,Top5,0.6292594275329395,0.5900000000000003,0.5787545787545787
MFCC,Random Forest,0.6129464285714286,0.58,0.5368335368335369
Spectrogram,SVM,0.6029411764705883,0.55,0.4997964997964998
Fusion_All,Logistic Regression,0.5971645569620253,0.54,0.5278795278795279
Spectrogram,Logistic Regression,0.5865546218487395,0.5,0.5229955229955231
eGeMAPS,SVM,0.5848595848595849,0.54,0.4554334554334554
eGeMAPS,Logistic Regression,0.5707070707070707,0.53,0.4188034188034188
Spectrogram,Random Forest,0.5677519379844961,0.52,0.5612535612535612
Fusion_All,Random Forest,0.5571322672879382,0.51,0.5604395604395604
Spectrogram,XGBoost,0.5433455433455434,0.63,0.5372405372405373
eGeMAPS,Random Forest,0.5429652494274619,0.45,0.43833943833943834
Wav2Vec_Full,Logistic Regression,0.5255813953488373,0.55,0.4586894586894587
Wav2Vec_Full,Random Forest,0.5248447204968945,0.36,0.4932844932844933
MFCC,XGBoost,0.5225885225885225,0.68,0.47089947089947093
Wav2Vec_Full,XGBoost,0.5203761755485893,0.44,0.4595034595034595
Wav2Vec_Full,SVM,0.5067698259187621,0.33,0.512006512006512
Fusion_All,XGBoost,0.4974379188017344,0.47,0.4961334961334961
eGeMAPS,XGBoost,0.4967105263157895,0.7,0.40089540089540093
