Model,Macro_F1,Best_Thr,AUC
Random Forest,0.6576086956521738,0.37000000000000005,0.7011949516648767
Logistic Regression,0.6365016702095354,0.5000000000000002,0.6756176154672395
SVM,0.6176955349115972,0.5600000000000003,0.6584317937701396
XGBoost,0.6136724960254372,0.3,0.6326530612244897
