Feature,Model,CV F1 Mean,CV F1 Std,CV F1 Min,CV F1 Max,CV Acc,CV AUC,CV Rec Dep,CV Prec Dep
MFCC+W2V,GBM_100,0.5805,0.1343,0.3484,0.7151,0.6067,0.5546,0.5571,0.5265
MFCC,RF_300,0.5729,0.1291,0.3407,0.7333,0.6076,0.5114,0.5536,0.5048
MFCC+W2V,RF_300,0.5726,0.1337,0.3407,0.7442,0.6071,0.5262,0.4536,0.5028
MFCC+W2V_Eng,LR_1,0.5723,0.0544,0.4949,0.637,0.6176,0.4649,0.4786,0.6009
MFCC+W2V_Eng,MLP_s,0.5702,0.0826,0.4373,0.6786,0.6162,0.4661,0.3821,0.52
All3_Eng,SVM_10,0.5678,0.1147,0.3939,0.7083,0.6367,0.4772,0.425,0.4333
All3,LR_1,0.5576,0.1218,0.3407,0.6971,0.5871,0.4638,0.5286,0.4878
MFCC+W2V,Ada_100,0.5548,0.0777,0.4296,0.6267,0.609,0.4462,0.5536,0.5185
MFCC+W2V_Eng,Ada_100,0.5526,0.055,0.4949,0.6429,0.6081,0.4413,0.4071,0.544
MFCC,SVM_10,0.5519,0.0638,0.4667,0.6429,0.6086,0.4657,0.4786,0.4908
All3_Eng,RF_300,0.5508,0.0687,0.4357,0.637,0.6171,0.4591,0.3286,0.4976
MFCC+W2V,LR_1,0.5489,0.0981,0.4048,0.6703,0.5795,0.5095,0.5286,0.4599
MFCC+W2V,SVM_10,0.543,0.0864,0.4048,0.6541,0.5881,0.4773,0.4286,0.4594
All3,RF_300,0.5397,0.1203,0.3067,0.6419,0.5581,0.4756,0.5286,0.4284
MFCC_Eng,LR_1,0.5227,0.0993,0.3484,0.6182,0.5376,0.4594,0.6393,0.4281
All3_Eng,GBM_200,0.5185,0.0938,0.3407,0.6182,0.5481,0.4668,0.4536,0.4032
MFCC,LR_1,0.517,0.0968,0.3939,0.6429,0.5386,0.4009,0.6071,0.4581
MFCC+W2V_Eng,SVM_10,0.4969,0.0654,0.4048,0.5689,0.5676,0.3581,0.2786,0.4079
All3,SVM_10,0.4691,0.1292,0.2759,0.6429,0.54,0.4099,0.4286,0.4452
