Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top2,0.630277185501066,0.5400000000000003,0.5494505494505495
MFCC,SVM,0.625,0.56,0.5620675620675621
Ensemble,Top4,0.6219421793921422,0.5400000000000003,0.5368335368335369
Ensemble,Top3,0.6178227848101265,0.5100000000000002,0.5376475376475377
Spectrogram,SVM,0.6110687438718815,0.54,0.5052910052910053
MFCC,XGBoost,0.6056166056166056,0.56,0.5404965404965405
Fusion_All,SVM,0.6015625,0.47,0.5282865282865283
MFCC,Random Forest,0.5887096774193548,0.47,0.5238095238095238
Spectrogram,Random Forest,0.5625730994152047,0.42,0.48188848188848193
Fusion_All,Random Forest,0.5597711532670882,0.47,0.505901505901506
Wav2Vec_Full,SVM,0.5597455701953657,0.56,0.4110704110704111
Spectrogram,Logistic Regression,0.5488461538461539,0.42,0.49613349613349617
Wav2Vec_Full,XGBoost,0.5413573146502144,0.58,0.5335775335775336
Wav2Vec_Full,Logistic Regression,0.5376428852975956,0.52,0.5018315018315018
Wav2Vec_Full,Random Forest,0.5351898734177215,0.47,0.49450549450549447
Fusion_All,XGBoost,0.5200250967269685,0.58,0.5254375254375254
Fusion_All,Logistic Regression,0.5147058823529412,0.66,0.4704924704924705
MFCC,Logistic Regression,0.5077220077220077,0.69,0.442002442002442
Spectrogram,XGBoost,0.4967105263157895,0.62,0.45014245014245013
