Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.5487606281895616,0.4666666666666667,0.4642857142857143,0.6521739130434783,0.6349206349206349,0.6521739130434783,0.6349206349206349,0.6349206349206349,0.5396825396825398
SVM (RBF),0.5593670113578559,0.6,0.5833333333333333,0.5652173913043478,0.4866071428571429,0.5302795031055901,0.5055555555555555,0.503968253968254,0.48412698412698413
Random Forest,0.5071677926734519,0.4666666666666667,0.4,0.43478260869565216,0.30303030303030304,0.3689064558629776,0.2631578947368421,0.35714285714285715,0.41269841269841273
XGBoost,0.5399490295181788,0.4666666666666667,0.4,0.4782608695652174,0.42500000000000004,0.46304347826086967,0.42410714285714285,0.43253968253968256,0.4682539682539682
