Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.659777183600713,0.6,0.5982142857142857,0.4782608695652174,0.45238095238095233,0.4782608695652174,0.45238095238095233,0.45238095238095233,0.4047619047619047
SVM (RBF),0.601639325586694,0.6,0.5833333333333333,0.6086956521739131,0.5548387096774193,0.5884992987377278,0.5735294117647058,0.5595238095238095,0.4365079365079365
Random Forest,0.6366311612364244,0.6666666666666666,0.6031746031746033,0.6521739130434783,0.6166666666666667,0.6420289855072464,0.6294642857142857,0.6150793650793651,0.49999999999999994
XGBoost,0.5988868003341687,0.7333333333333333,0.7,0.5217391304347826,0.486815415821501,0.515918511332569,0.4875,0.48809523809523814,0.5158730158730158
