Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.5588747509800142,0.6,0.5833333333333333,0.5652173913043478,0.48660714285714285,0.53027950310559,0.5055555555555555,0.503968253968254,0.47619047619047616
SVM (RBF),0.5064460539460539,0.4,0.2857142857142857,0.34782608695652173,0.3002028397565923,0.26051680042331776,0.3416666666666667,0.4246031746031746,0.46031746031746035
Random Forest,0.4714980633401685,0.5333333333333333,0.49760765550239233,0.5217391304347826,0.41025641025641024,0.4659977703455964,0.4144736842105263,0.4484126984126984,0.4920634920634921
XGBoost,0.5252083863848569,0.5333333333333333,0.49760765550239233,0.4782608695652174,0.3839285714285714,0.43633540372670804,0.37777777777777777,0.4126984126984127,0.4603174603174603
Ensemble Voting,0.5441147741147742,0.5333333333333333,0.5248868778280543,0.43478260869565216,0.43047619047619046,0.4412422360248447,0.43939393939393934,0.4365079365079365,0.46825396825396826
