Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.6046365238348865,0.5333333333333333,0.5248868778280543,0.5652173913043478,0.5208333333333333,0.5525362318840579,0.5267857142857143,0.5238095238095238,0.5476190476190476
SVM (RBF),0.5994002327914307,0.6,0.5833333333333333,0.5217391304347826,0.4559139784946237,0.497054698457223,0.4607843137254902,0.46825396825396826,0.5158730158730159
Random Forest,0.6192704197248413,0.6,0.5833333333333333,0.5652173913043478,0.4362745098039216,0.4948849104859335,0.4666666666666667,0.4841269841269841,0.5
XGBoost,0.6114630555359535,0.6,0.5833333333333333,0.6086956521739131,0.5174825174825175,0.5630890848282152,0.5657894736842105,0.5396825396825397,0.4920634920634921
Ensemble Voting,0.6059243049533561,0.6,0.5833333333333333,0.5652173913043478,0.48660714285714285,0.53027950310559,0.5055555555555555,0.503968253968254,0.5158730158730159
