Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.5215883572423641,0.6666666666666666,0.6411483253588517,0.5652173913043478,0.5436507936507937,0.5652173913043478,0.5436507936507937,0.5436507936507937,0.5238095238095238
SVM (RBF),0.5303497127130251,0.6,0.5833333333333333,0.5217391304347826,0.4102564102564103,0.4659977703455965,0.4144736842105263,0.4484126984126984,0.4682539682539682
Random Forest,0.47495861520607824,0.6,0.5833333333333333,0.391304347826087,0.28125000000000006,0.34239130434782616,0.25,0.32142857142857145,0.38888888888888895
XGBoost,0.5093024692595961,0.5333333333333333,0.49760765550239233,0.4782608695652174,0.42500000000000004,0.46304347826086967,0.42410714285714285,0.43253968253968256,0.40476190476190477
