Model,CV Macro F1,Val Accuracy,Val Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Precision,Test Recall,Test ROC-AUC
Logistic Regression,0.5188526031827727,0.6,0.5833333333333333,0.5652173913043478,0.5576923076923077,0.5702341137123746,0.5606060606060606,0.5634920634920635,0.4841269841269842
SVM (RBF),0.49937568488656725,0.5333333333333333,0.49760765550239233,0.5652173913043478,0.48660714285714285,0.53027950310559,0.5055555555555555,0.503968253968254,0.49999999999999994
Random Forest,0.49238261536208644,0.5333333333333333,0.49760765550239233,0.5217391304347826,0.486815415821501,0.515918511332569,0.4875,0.48809523809523814,0.4920634920634921
XGBoost,0.5109586597622088,0.4,0.2857142857142857,0.5217391304347826,0.34285714285714286,0.41739130434782606,0.2857142857142857,0.42857142857142855,0.49206349206349204
