Fold,Best Epoch,Val Accuracy,Macro F1,Prec NORMAL,Prec DEPRESI,Recall NORMAL,Recall DEPRESI,F1 NORMAL,F1 DEPRESI
1,1,0.6765,0.4035,0.6765,0.0,1.0,0.0,0.807,0.0
2,1,0.6765,0.4035,0.6765,0.0,1.0,0.0,0.807,0.0
3,1,0.3529,0.2609,0.0,0.3529,0.0,1.0,0.0,0.5217
4,1,0.3529,0.2609,0.0,0.3529,0.0,1.0,0.0,0.5217
5,1,0.3529,0.2609,0.0,0.3529,0.0,1.0,0.0,0.5217
Mean,-,0.4823,0.3179,0.2706,0.2117,0.4,0.6,0.3228,0.313
Std,-,0.1772,0.0781,0.3705,0.1933,0.5477,0.5477,0.442,0.2857
