Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,svm,0.678082992402104,0.7,0.6021571021571022
Ensemble,Top5,0.673773987206823,0.5400000000000003,0.5982905982905984
Ensemble,Top3,0.6691176470588236,0.5700000000000003,0.6385836385836385
Ensemble,Top4,0.6651487874616118,0.5300000000000002,0.6157916157916158
Fusion_All,svm,0.6621499548328816,0.5,0.6524216524216524
MFCC,lr,0.6608964805686117,0.57,0.6015466015466016
Ensemble,Top6,0.6608964805686117,0.6000000000000003,0.5913715913715913
MFCC,Stacking,0.6416337285902503,0.53,0.5156695156695157
MFCC,rf,0.6129464285714286,0.58,0.5368335368335369
Spectrogram,svm,0.6029411764705883,0.55,0.4997964997964998
Fusion_All,Stacking,0.5968379446640316,0.54,0.5934065934065933
Fusion_All,xgb,0.5952380952380952,0.52,0.5632885632885634
Fusion_All,lr,0.5932099396666326,0.56,0.6068376068376069
Fusion_All,rf,0.588076923076923,0.39,0.5714285714285715
Spectrogram,lr,0.5865546218487395,0.5,0.5229955229955231
Spectrogram,rf,0.5677519379844961,0.52,0.5612535612535612
Text_Only,lr,0.5677519379844961,0.55,0.5482295482295482
Text_Only,rf,0.5641025641025641,0.5,0.518925518925519
Spectrogram,Stacking,0.5597455701953657,0.53,0.512006512006512
Text_Only,Stacking,0.5514878821965437,0.5,0.5234025234025234
Text_Only,svm,0.5510466988727858,0.63,0.5221815221815221
Spectrogram,xgb,0.5433455433455434,0.63,0.5372405372405373
Wav2Vec_Full,Stacking,0.5376428852975956,0.46,0.46520146520146527
Text_Only,xgb,0.5306268534614991,0.66,0.5132275132275133
Wav2Vec_Full,lr,0.5255813953488373,0.55,0.4586894586894587
Wav2Vec_Full,rf,0.5248447204968945,0.36,0.4932844932844933
MFCC,xgb,0.5225885225885225,0.68,0.47089947089947093
Wav2Vec_Full,xgb,0.5203761755485893,0.44,0.4595034595034595
Wav2Vec_Full,svm,0.5067698259187621,0.33,0.512006512006512
