model,best_n,best_cfg_idx,cv_f1,cv_std,oof_thr,test_f1_oof,test_f1_sw,test_auc,y_pred_oof,y_prob,oof_probs,best_cfg,scenario,time_s
LR,10,7,0.612,0.1515,0.515,0.4505,0.6491,0.61,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0.500318074959097, 0.43193556298979724, 0.5475637631861464, 0.5264117341945319, 0.27329402005881065, 0.46981781311751175, 0.3951060516846286, 0.3790856677587532, 0.41385348092928165, 0.5073489009933818, 0.4286192791947292, 0.44894754169522133, 0.556062832256307, 0.4758858443971596, 0.168955354630989, 0.501704386047693, 0.49482071280801443, 0.5343058629615889, 0.5047760857261138, 0.5035716545962238]","[0.4917821986799506, 0.2832453638160009, 0.4950164153785407, 0.6136270252647934, 0.26106114764793065, 0.5585883803386791, 0.398824086169812, 0.5505158131819867, 0.47690112427059345, 0.5504869396921341, 0.5001226058072347, 0.4547833552780065, 0.4986218215841668, 0.43288726078388035, 0.6099971394774023, 0.5484315874323336, 0.4112023624653166, 0.48763692219229615, 0.4832526307224907, 0.5053518203116549, 0.5672955721947509, 0.48118638872078345, 0.4108001440708745, 0.4315036202449179, 0.47080154064813623, 0.4789713749377403, 0.5318472034255869, 0.4500479497636035, 0.4284866063400002, 0.4372938577789174, 0.47434974630586635, 0.5393609749181442, 0.45997166470327466, 0.4217479871700927, 0.5155551136087124, 0.4945765589260819, 0.4440757649608303, 0.5399606708921881, 0.4537989525458451, 0.4969386367748746, 0.5959633238617937, 0.49381977409856886, 0.3122764095719776, 0.46326435971165353, 0.5259041695965243, 0.5017951593270408, 0.40427580028705745, 0.5137938914414529, 0.4881963699162945, 0.39827341540491623, 0.5026903037226785, 0.43023722146918186, 0.4422022165438792, 0.6367418972275566, 0.4239686022928326, 0.43934156739306723, 0.5168757607208899, 0.49319265497736375, 0.46669367844522824, 0.5776036591692248, 0.5057976148033732, 0.590123304704462, 0.42883417313309896, 0.41381186005178855, 0.41672532811608237, 0.4924339032405321, 0.4737090829786437, 0.543340473096137, 0.5849984806081812, 0.45072494109348443, 0.5237988199279839, 0.32846157784406965, 0.4339211060856466, 0.5366922379331366, 0.5671691206789409, 0.43600901711014306, 0.5454229298743642, 0.4488845704268121, 0.588641455154768, 0.4546522413242309, 0.48275242640823385, 0.4831928269678565]","(0.05, {0: 1, 1: 1.8})",S1_Spectrogram,95.9
SVM_rbf,10,7,0.6936,0.1268,0.37,0.3103,0.52,0.52,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3754231166621769, 0.3392519351868094, 0.35550288751294257, 0.3625517920384197, 0.35607991822519847, 0.3620009138857725, 0.3388630604075754, 0.3530559995315597, 0.3355764976006366, 0.35489574457538975, 0.3644261307621182, 0.3445973840803699, 0.34936090721301527, 0.3644203600433168, 0.36646432037187, 0.3393832085224531, 0.3536894390030847, 0.3553539722602214, 0.3587069653196366, 0.3331757231765028]","[0.26449047687354366, 0.40695632059542924, 0.34955487579641126, 0.38479319320690497, 0.38540141530674826, 0.3625226384320067, 0.3759585783902513, 0.3606001177415257, 0.2493607789224433, 0.35174099392393615, 0.39403655977831215, 0.3464556086979138, 0.48967421805547245, 0.38047532734984685, 0.39755082897862487, 0.3820110313526413, 0.37188761094551814, 0.3997253082733186, 0.268671753902216, 0.3500454671431451, 0.3588062139086755, 0.38403890755920206, 0.3377368943693905, 0.4090927814246267, 0.3582538048741058, 0.3729305539846979, 0.38105960018413854, 0.3499768205281339, 0.34045601936946807, 0.21760021524502218, 0.36219561718171017, 0.3620522004059155, 0.2634761452971816, 0.38173206798853443, 0.6517264703831555, 0.4730785192743497, 0.34260109957314183, 0.5, 0.26842874465263356, 0.35578291312820975, 0.40605929438678173, 0.3808416017461774, 0.2571692280678074, 0.33618067901257886, 0.34585363854151396, 0.308969152985507, 0.30811680017154547, 0.35649237620958635, 0.3203876971822301, 0.25874275992153595, 0.29888127488163174, 0.30667932809227383, 0.432181817503869, 0.4318058182516712, 0.2860134698211815, 0.3565388151195004, 0.3583234929543115, 0.3033945933254532, 0.34401176964293434, 0.46501908694977556, 0.39754353574005635, 0.4060392040673805, 0.30573724913774075, 0.23679142625116664, 0.2859531595493755, 0.39242691216713493, 0.34861541834198057, 0.5381317573426455, 0.2949477383108743, 0.2579278772198222, 0.3516222378282108, 0.3550983202852738, 0.3689524870234604, 0.46078653130856184, 0.5232352510335094, 0.3655148373507501, 0.23388487457176554, 0.34469210466182404, 0.17959758558492606, 0.30444312157402253, 0.407311091761494, 0.33923907270610576]","(5.0, {0: 1, 1: 1.8})",S1_Spectrogram,47.7
SVM_lin,20,2,0.6575,0.1028,0.36,0.4486,0.4949,0.36,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[0.3168279499021132, 0.3887207006869116, 0.3492316349292161, 0.34868821432305536, 0.4740737518212473, 0.3587133122084948, 0.41300897079562354, 0.4195145802263261, 0.3974339575655029, 0.33389973049472216, 0.3846173129043676, 0.3867010826263995, 0.342715161849511, 0.370870122375495, 0.5762613357269187, 0.3090703974852554, 0.3575535243810924, 0.29368371844128105, 0.33049948754415504, 0.3534410810687349]","[0.3604876378761303, 0.4771992844602985, 0.3072611442241455, 0.29346582155180595, 0.8446826226565619, 0.23402629411121412, 0.3851960486196911, 0.3402631067674492, 0.3558495479536583, 0.3398945592785888, 0.34732349303948673, 0.36694470809747676, 0.30885005243093794, 0.3404297044032632, 0.2877108205362236, 0.3305283691142695, 0.4452968729829979, 0.30691324403952797, 0.3653779404101781, 0.36360804212076997, 0.3083242772655836, 0.355307643565325, 0.30017564049674533, 0.44427340906027973, 0.361581728803114, 0.3459482905338378, 0.34394424720321026, 0.3894927231493122, 0.41850963786463363, 0.4198532770270652, 0.44197857674055835, 0.3010784151473262, 0.3621476591892853, 0.40732863695177524, 0.34865492683673466, 0.3509632664511197, 0.36020773381464144, 0.24311049781578542, 0.3414817515361039, 0.36984897436276404, 0.29959007432871865, 0.36429675998786437, 0.3898747516260837, 0.41622285843036405, 0.351089570536691, 0.3349176686230679, 0.36513082674583713, 0.33418446397973944, 0.30255718843490953, 0.3567474409734698, 0.35474728614797424, 0.35760953967588677, 0.3518091196623581, 0.30281967600767695, 0.4599895011121128, 0.36297318233143105, 0.3546097194788389, 0.3449151906600962, 0.3905992209604275, 0.21809758954494082, 0.35036920473259603, 0.3219118304412385, 0.39711076006254653, 0.35856111487856007, 0.3578995772215969, 0.3896439511282508, 0.36028254157238476, 0.33320892288049936, 0.3300237685391937, 0.38027525470025786, 0.32077569907404513, 0.41757367948364194, 0.35771288738074286, 0.31549724258796336, 0.35453052250558675, 0.41197823102929665, 0.33285702793501576, 0.3710086735970881, 0.32202886206885617, 0.3203046149882019, 0.3466555629548614, 0.3475978569496269]","(0.5, 'balanced')",S1_Spectrogram,47.9
RF,10,0,0.6259,0.1433,0.46,0.3939,0.4792,0.36,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0.5052158164491253, 0.3904154761677509, 0.5556806914280847, 0.5197871252068527, 0.4311341887136441, 0.4444707209715626, 0.32245119484235835, 0.37892950122274544, 0.499337813162875, 0.4913671495835585, 0.5300987272548614, 0.4164077973365842, 0.4778352342955002, 0.3728783003399101, 0.37397186709138963, 0.44853437359744, 0.41066372031157256, 0.4191054214706, 0.47676588948081244, 0.3507627309594758]","[0.33772450945907473, 0.522697059768822, 0.4259333257078788, 0.6451369606136255, 0.35917756818622315, 0.5188087711693339, 0.48711563901817073, 0.5221462652400529, 0.36494852391844373, 0.48692379473731046, 0.525290192971539, 0.45949466560512997, 0.5482029233200116, 0.529953827234238, 0.5502327658464435, 0.49898941714234085, 0.42870931813922836, 0.4519130292754995, 0.4681309050414179, 0.43224823395565876, 0.5792486356591906, 0.5389802516452251, 0.39577177696753985, 0.47501633188812975, 0.5664442458354755, 0.5603999086309818, 0.4779912673218503, 0.34896618441215027, 0.402922178086442, 0.3421390260357974, 0.40131125615018576, 0.5244214236046956, 0.3740955919695817, 0.4499410465951389, 0.6247690497147215, 0.5588712810510676, 0.4669492459601379, 0.5932069333238035, 0.34577894671881815, 0.5108232392411118, 0.6359491152061022, 0.3972265716605031, 0.37193761181915475, 0.5057588064383115, 0.49439675342775935, 0.44833811008765956, 0.3873668918998846, 0.5927418705619342, 0.40474526810901523, 0.3093291665779875, 0.37826742281539494, 0.29587643005830766, 0.3864414219809054, 0.6889035573505224, 0.3598564099980206, 0.45192664621947315, 0.502067638764162, 0.5122263116534042, 0.36601562287760325, 0.5141601800110059, 0.6013541556799221, 0.6713909480381998, 0.254857817498439, 0.22829096705677454, 0.4496221685691427, 0.4072587785723907, 0.35472924504381803, 0.6127103979858789, 0.5792695149283716, 0.3709921725181665, 0.5917807832298897, 0.4220628484945874, 0.4588746529830223, 0.5559616990125391, 0.6401734791144316, 0.47665088296624547, 0.5042833104796628, 0.3800830884307873, 0.5121224655181432, 0.4037464948395001, 0.39129402390903295, 0.4596850772403826]","(200, 3, 2, 'balanced')",S1_Spectrogram,152.3
XGB,15,19,0.6694,0.1695,0.465,0.4486,0.5,0.42,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0.5364952683448792, 0.3814825415611267, 0.6817610859870911, 0.7022256255149841, 0.5229607224464417, 0.3888893723487854, 0.26649072766304016, 0.36294132471084595, 0.4892408549785614, 0.593187689781189, 0.6812466382980347, 0.2108137011528015, 0.5607431530952454, 0.3819546103477478, 0.5178907513618469, 0.4469299614429474, 0.3680223524570465, 0.2405450940132141, 0.6086299419403076, 0.4979991316795349]","[0.3944065570831299, 0.41661933064460754, 0.5086789727210999, 0.3664512038230896, 0.3454160988330841, 0.6073057651519775, 0.467157244682312, 0.7033072113990784, 0.09321024268865585, 0.4405739903450012, 0.6846846342086792, 0.3482280969619751, 0.6205005645751953, 0.5390386581420898, 0.1339646875858307, 0.7133609652519226, 0.39247989654541016, 0.5517553687095642, 0.41497698426246643, 0.41518187522888184, 0.4481864869594574, 0.49228811264038086, 0.4205247759819031, 0.44554221630096436, 0.44237688183784485, 0.6618046164512634, 0.5688334107398987, 0.2463340312242508, 0.31021541357040405, 0.21006041765213013, 0.3424539864063263, 0.4345413148403168, 0.1495482623577118, 0.6205542087554932, 0.7062903642654419, 0.3223876655101776, 0.4864812195301056, 0.6845825910568237, 0.22559165954589844, 0.643953263759613, 0.4660663902759552, 0.3384760618209839, 0.33637529611587524, 0.41913366317749023, 0.5976313948631287, 0.5578596591949463, 0.2908500134944916, 0.5811665654182434, 0.4086074233055115, 0.15821421146392822, 0.2993939220905304, 0.20824143290519714, 0.463498592376709, 0.7008914351463318, 0.20355482399463654, 0.2733999788761139, 0.5599669814109802, 0.6198723316192627, 0.3084898293018341, 0.6184888482093811, 0.7799838781356812, 0.6265285015106201, 0.19984234869480133, 0.0833774283528328, 0.29649707674980164, 0.5181677937507629, 0.4980357885360718, 0.6265722513198853, 0.7825884819030762, 0.27928581833839417, 0.716495156288147, 0.19295381009578705, 0.32075491547584534, 0.8739481568336487, 0.45526131987571716, 0.24409551918506622, 0.3480012118816376, 0.4578753411769867, 0.3773316442966461, 0.2614748179912567, 0.3122319281101227, 0.30299800634384155]","(200, 2, 0.05, 0.8, 2.0, 2.0, 5.0)",S1_Spectrogram,211.5
LR,15,10,0.6207,0.1885,0.56,0.4505,0.6,0.51,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0.5317522261384019, 0.3036598247077287, 0.5089032372492666, 0.5795710512162959, 0.362681239437114, 0.4324128792077453, 0.5005554828190685, 0.6331195088857018, 0.435120845882157, 0.5231008114779597, 0.29567843062170823, 0.34999312689017037, 0.5538558183793277, 0.5219908625902182, 0.2720744059456935, 0.42187035118525745, 0.6643455316030585, 0.5199061419310723, 0.553906156796267, 0.7696237515231164]","[0.4396398422769637, 0.29182854080278336, 0.5862263994067104, 0.6259935223076477, 0.5006706712386371, 0.4472191212376976, 0.47156246453737355, 0.46866927372619055, 0.527807300484996, 0.7955113401900786, 0.7237855096754265, 0.22619976538613468, 0.6277586821606022, 0.6728618910334413, 0.6642354833601531, 0.699449942309, 0.32928930572823295, 0.5505248014672509, 0.19195990489832596, 0.841568686762245, 0.592850888788115, 0.5564245304146359, 0.3891924548788224, 0.1767350202643407, 0.509517627648201, 0.6029436884710371, 0.5726854608111331, 0.7183645627775868, 0.7348710391014891, 0.2065245772537924, 0.36185234155486123, 0.6054824892762651, 0.038590807475831074, 0.49342797680875444, 0.8252706100643739, 0.5279325073699924, 0.2116336718433932, 0.46914742591127706, 0.469056619225404, 0.6044887337424097, 0.8339436097465069, 0.5677107861122462, 0.357313581254885, 0.2811749181659126, 0.5046549448166318, 0.6650135596807281, 0.41305205908511616, 0.7053389534259831, 0.4820899861154328, 0.48239261381523574, 0.5876872755012619, 0.403093676408283, 0.5204401387723954, 0.8748326417051933, 0.46219413134585413, 0.2893127278512317, 0.4258740606706076, 0.42523668065292, 0.5199544449750036, 0.5838368196782614, 0.37736703411877826, 0.5413624940012134, 0.4281194680907304, 0.25738404509138957, 0.3470606358580734, 0.4235900470433339, 0.30432133713695664, 0.08178090591941557, 0.5659873749275413, 0.32607622535352004, 0.5339548120571203, 0.2573189880595882, 0.2766457051038743, 0.5481558684652601, 0.5686189828795816, 0.25826467148142646, 0.47673226566755583, 0.2984930476982449, 0.4115217660818303, 0.39785266887364973, 0.6525970523634604, 0.332912842821059]","(0.3, 'balanced')",S2_MFCC,95.5
SVM_rbf,10,4,0.7448,0.0881,0.355,0.596,0.6491,0.71,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[0.37296078745804484, 0.27667506361533784, 0.2937242446597054, 0.36996651065691677, 0.23730374780068983, 0.2614122461945049, 0.26420582471377263, 0.2610687419668318, 0.2985283091442708, 0.4435872589557025, 0.26997370243981134, 0.2595261114313422, 0.39866576376554036, 0.2988188627210436, 0.2923111131363694, 0.31879986631305124, 0.5396651597468549, 0.44723950358693043, 0.4646455416719444, 0.37250187785719546]","[0.3159863014946223, 0.1543832308210546, 0.2895546908831028, 0.33517101027580737, 0.26612469589303944, 0.3447973474398793, 0.3484132823645147, 0.3419777720296674, 0.34958241962623343, 0.32327027690226223, 0.549875652381179, 0.38459373080795756, 0.28691909805277405, 0.3683265796897731, 0.36299836865639923, 0.35647319532274535, 0.3006006821127721, 0.4075507405580017, 0.35397539154823127, 0.3478087207240527, 0.3557912263981357, 0.2756979009545613, 0.26706477641697063, 0.32739938170575106, 0.3522750890371247, 0.3448719335132346, 0.597824795725722, 0.33604849289414657, 0.5, 0.22542993231637562, 0.37245020338264023, 0.48012036734693914, 0.42145064476949506, 0.19949160591806425, 0.5308211633329117, 0.491239695371655, 0.36779561781039666, 0.4904916841533063, 0.35192148574304133, 0.37200758715299237, 0.3591588029570051, 0.35583713013724055, 0.2541687254008153, 0.24481420633572368, 0.2505679245679045, 0.3694855998556848, 0.2326593173981412, 0.3283860935001916, 0.3048159638541924, 0.27678307277569275, 0.31352161308951204, 0.29390026671714814, 0.405087350845738, 0.5525290979587807, 0.26115397663750645, 0.2773423606361262, 0.3783198055986124, 0.2455296622311952, 0.3034267445935051, 0.43298792421369453, 0.4162177314724165, 0.641194011097586, 0.3524395704426802, 0.2267092417202667, 0.2471087341384241, 0.3502290092858804, 0.2649338659746334, 0.28593931581775983, 0.5667012249993205, 0.25446847845591747, 0.35684834615943645, 0.27221900329951154, 0.30023992793627124, 0.36314880424946516, 0.4866128097580897, 0.24859320643249141, 0.4514817592647637, 0.2669158075575814, 0.36491620006591313, 0.3445744590748865, 0.4374618201287284, 0.2305548868264177]","(1.0, 'balanced')",S2_MFCC,49.9
SVM_lin,25,7,0.621,0.1133,0.365,0.4133,0.4949,0.41,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[0.3503344498483494, 0.36316795167367316, 0.34901578543532275, 0.35854008174298674, 0.344529449483278, 0.355987126125302, 0.3798959413159352, 0.36555400713960234, 0.36934549333865896, 0.35846143371511374, 0.36407258170128265, 0.35853915041083334, 0.3184667758954653, 0.34666135071184506, 0.32021866869613036, 0.3450412307620627, 0.3717334278930112, 0.35511089088979614, 0.36093026176672394, 0.36973658604610526]","[0.34762147201499793, 0.3459310920563037, 0.35810154606153, 0.37216635768380096, 0.3602700776138359, 0.34766888880155616, 0.6889233662716042, 0.3489020434578812, 0.3731844401010898, 0.4288465133927029, 0.3544495880828666, 0.14928684134569, 0.3728491317253418, 0.3318015512165573, 0.3757891934714052, 0.4195684389191263, 0.32189372094572394, 0.3576459700906132, 0.3224365661251597, 0.48275567343888487, 0.30228005230294025, 0.3572462051248849, 0.35695939811913374, 0.23416125512271127, 0.3342861671066123, 0.3601084722671406, 0.35797901774317853, 0.4810509403531732, 0.3583759300137718, 0.360832659960553, 0.3625723555228859, 0.4019050203347175, 0.24703499765248724, 0.3562457172430501, 0.360163575729094, 0.36739815604864656, 0.40009073953354973, 0.35744286510538825, 0.38346964806537437, 0.37154978280169637, 0.3673103396043341, 0.35208168653844296, 0.355805619239974, 0.35946896285432617, 0.34946986013461945, 0.35743459428679336, 0.35370416257052223, 0.38368419028584855, 0.35837417682729095, 0.342647770347863, 0.35274967382235006, 0.34842131491951284, 0.3558112372884804, 0.3731457792032334, 0.35505034249121536, 0.38918138821353077, 0.33801950120234153, 0.3663194873235849, 0.3574196015531057, 0.35412580398604776, 0.39624368947051675, 0.35532307681454106, 0.35613415810967164, 0.3568307245634246, 0.3494527964080624, 0.3607168293938143, 0.35780902617489707, 0.3566083489295181, 0.3597016793500245, 0.3536466164909685, 0.3474577585131041, 0.3847034984606925, 0.35107988065306855, 0.3530434360252355, 0.3424104282173456, 0.35964402743848845, 0.3574934907167272, 0.36068352955511296, 0.3554156346030323, 0.36567499560738637, 0.3678730396492394, 0.35080682673068214]","(5.0, {0: 1, 1: 1.8})",S2_MFCC,48.8
RF,10,6,0.7097,0.1511,0.53,0.6703,0.798,0.78,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0.37856684332732427, 0.45098162791279084, 0.3615360565543421, 0.4899687441800378, 0.29721860334351535, 0.3851338159303433, 0.4191652931097998, 0.44275450508825903, 0.41973763663784286, 0.4343253079718511, 0.460847342819798, 0.40890705331571287, 0.5349163236698257, 0.4352360449613001, 0.26115911049725415, 0.47106847661890366, 0.782727614568955, 0.47359761491552066, 0.5491440571763491, 0.6000983732032537]","[0.5086833006503708, 0.22854465249161868, 0.36920647437997356, 0.43813155560277245, 0.27363306017511735, 0.21570112792684473, 0.3046116161131296, 0.5082124177159073, 0.5613869921918895, 0.6572136706813787, 0.6432004872438699, 0.41241136021478964, 0.4491445346760876, 0.41284824534922165, 0.6067700474100536, 0.5847130653806896, 0.4162434139893125, 0.4505029733783287, 0.4226982906939446, 0.44311003569231305, 0.5250857960106455, 0.4760485827577483, 0.5136205008667399, 0.3459146912152872, 0.4172945972631446, 0.6135020578836351, 0.7169444426410433, 0.4707819899231991, 0.5519978570608, 0.35355742508990673, 0.28951575507103133, 0.6482262251284403, 0.3649006682189431, 0.35768502559189375, 0.4882200896509163, 0.655516601534981, 0.3207129262121993, 0.6125613183532311, 0.45851986192689576, 0.6066228658434185, 0.5711830566620504, 0.5334942673145537, 0.35251120707636846, 0.30916038415702174, 0.31235855454385464, 0.7010287833183962, 0.43834594231112184, 0.3431877579258247, 0.4470861701991136, 0.37166752423005484, 0.48865355542913513, 0.40107629705155357, 0.4818986737551044, 0.5287000343966207, 0.4388188189946455, 0.4052488088636779, 0.521654404083263, 0.5370812656786015, 0.4575631612017079, 0.5845728129849946, 0.5421299534777686, 0.7531720228310962, 0.5187624545491041, 0.3282298742804079, 0.3925688033843808, 0.5545464232579714, 0.4136805020550694, 0.38766501315231605, 0.6917900619728179, 0.3607076665746957, 0.6072209784781682, 0.2019536662430513, 0.3993224651254109, 0.4992351079810861, 0.5515645371735072, 0.3099534396613617, 0.4365865122481168, 0.41138384962889146, 0.4266807240192774, 0.4121506777190785, 0.645329335228872, 0.4267055278181053]","(300, 3, 2, 'balanced')",S2_MFCC,153.0
XGB,10,28,0.6906,0.0754,0.57,0.6011,0.8465,0.79,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1]","[0.15128344297409058, 0.30657511949539185, 0.11731772869825363, 0.23201723396778107, 0.09243705123662949, 0.24415457248687744, 0.1804114580154419, 0.12327927350997925, 0.06970691680908203, 0.18062104284763336, 0.5499656200408936, 0.4766671657562256, 0.5414795875549316, 0.5991662740707397, 0.053499843925237656, 0.3152233958244324, 0.9210783839225769, 0.10502615571022034, 0.18971708416938782, 0.6235805153846741]","[0.25196850299835205, 0.04313082993030548, 0.2225182056427002, 0.24149057269096375, 0.08527082949876785, 0.07843848317861557, 0.1916617900133133, 0.602027952671051, 0.7434154748916626, 0.8139998316764832, 0.4851396679878235, 0.15410380065441132, 0.24616849422454834, 0.26009634137153625, 0.6851477026939392, 0.49189648032188416, 0.11003535985946655, 0.5013585090637207, 0.3851744532585144, 0.22081373631954193, 0.47568246722221375, 0.38553905487060547, 0.4896020293235779, 0.04450467601418495, 0.28334593772888184, 0.8036326169967651, 0.9256194829940796, 0.6762505173683167, 0.2673022449016571, 0.26371338963508606, 0.11566901952028275, 0.8121589422225952, 0.2280178815126419, 0.03195397928357124, 0.3075750172138214, 0.8469643592834473, 0.23366205394268036, 0.801069438457489, 0.5344573259353638, 0.580249547958374, 0.6458089351654053, 0.3079470098018646, 0.14759483933448792, 0.15842697024345398, 0.17144480347633362, 0.6116847395896912, 0.4521176815032959, 0.1363987922668457, 0.19837066531181335, 0.18622790277004242, 0.35051602125167847, 0.5918532013893127, 0.3084455132484436, 0.7591360211372375, 0.2769668996334076, 0.4062528610229492, 0.5525768399238586, 0.6680132150650024, 0.4311663508415222, 0.4788547456264496, 0.6879746913909912, 0.8788718581199646, 0.34998685121536255, 0.1225205808877945, 0.3281651735305786, 0.4805483818054199, 0.7108399271965027, 0.17132239043712616, 0.7220097184181213, 0.06407675892114639, 0.6955747604370117, 0.07651876658201218, 0.12622253596782684, 0.5523470044136047, 0.709629476070404, 0.07988852262496948, 0.26674386858940125, 0.5657755732536316, 0.13286641240119934, 0.243656724691391, 0.6502273678779602, 0.2672073543071747]","(200, 3, 0.1, 0.8, 1.83, 1.0, 5.0)",S2_MFCC,211.2
