Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
Spectrogram|SMOTE|K100|MLP76,0.692,0.7391,0.6667,0.6865,0.47
Spectrogram|NoSMOTE|K50|LR_C1,0.692,0.7391,0.5794,0.6865,0.84
Fusion|SMOTEENN|K50|GBM,0.6734,0.6957,0.627,0.6706,0.33
Fusion|NoSMOTE|PCA|LGB,0.6618,0.7391,0.5,0.6667,0.8
MFCC|SMOTE|K50|LGB,0.6349,0.6522,0.5079,0.6349,0.21
Wav2Vec|SMOTE|K50|MLP76,0.6349,0.6522,0.5079,0.6349,0.5
Fusion|SMOTE|K100|LR_C1,0.6247,0.6957,0.5079,0.631,0.81
Fusion|NoSMOTE|PCA|XGB,0.6247,0.6957,0.5635,0.631,0.69
Fusion|SMOTEENN|K50|MLP76,0.6247,0.6957,0.4841,0.631,0.57
Spectrogram|SMOTE|K50|LR_C1,0.6247,0.6957,0.5635,0.631,0.79
Fusion|SMOTEENN|K50|RF,0.6167,0.6522,0.5317,0.6151,0.55
Spectrogram|SMOTE|PCA|GBM,0.6167,0.6522,0.5556,0.6151,0.3
Wav2Vec|NoSMOTE|K50|GBM,0.6167,0.6522,0.5159,0.6151,0.38
Wav2Vec|SMOTE|K50|LGB,0.6167,0.6522,0.5159,0.6151,0.61
Spectrogram|SMOTE|PCA|XGB,0.6167,0.6522,0.5317,0.6151,0.37
MFCC|SMOTE|K100|XGB,0.6167,0.6522,0.4683,0.6151,0.44
MFCC|SMOTE|K50|XGB,0.6167,0.6522,0.4683,0.6151,0.33
Fusion|SMOTETomek|K50|MLP76,0.6167,0.6522,0.4683,0.6151,0.44
Spectrogram|SMOTE|PCA|RF,0.6167,0.6522,0.6111,0.6151,0.44
Fusion|SMOTE|PCA|LGB,0.6167,0.6522,0.5238,0.6151,0.75
Wav2Vec|SMOTE|PCA|MLP76,0.6057,0.6087,0.5079,0.619,0.42
Wav2Vec|SMOTE|K100|RF,0.6057,0.6087,0.5476,0.619,0.39
MFCC|SMOTE|K100|LGB,0.5965,0.6087,0.5159,0.5992,0.2
Spectrogram|SMOTE|PCA|ET,0.5965,0.6087,0.6032,0.6786,0.35
Fusion|SMOTE|K50|MLP76,0.5965,0.6087,0.5714,0.5992,0.2
Fusion|BorderSMOTE|K100|LR_C1,0.5893,0.6522,0.4921,0.5952,0.72
Fusion|BorderSMOTE|K100|XGB,0.5893,0.6522,0.4206,0.5952,0.32
Fusion|BorderSMOTE|K100|LGB,0.5893,0.6522,0.5,0.5952,0.57
Fusion|BorderSMOTE|K50|RF,0.5893,0.6522,0.4127,0.5952,0.5
Spectrogram|NoSMOTE|K50|MLP76,0.5893,0.6522,0.4841,0.5952,0.46
Wav2Vec|SMOTE|PCA|RF,0.5893,0.6522,0.4722,0.5952,0.54
Wav2Vec|SMOTE|PCA|LGB,0.5893,0.6522,0.4127,0.5952,0.77
Wav2Vec|SMOTE|K50|GBM,0.5893,0.6522,0.4683,0.5952,0.59
XGB_GS_Best,0.5893,0.6522,0.4127,0.5952,0.45
Wav2Vec|SMOTE|K50|XGB,0.5893,0.6522,0.4762,0.5952,0.63
Wav2Vec|SMOTE|PCA|XGB,0.5893,0.6522,0.4683,0.5952,0.7
Fusion|SMOTE|K100|XGB,0.5893,0.6522,0.3968,0.5952,0.37
Fusion|NoSMOTE|K100|XGB,0.5893,0.6522,0.3651,0.5952,0.59
Fusion|NoSMOTE|K100|MLP76,0.5893,0.6522,0.4524,0.5952,0.39
Fusion|NoSMOTE|K100|RF,0.5893,0.6522,0.3968,0.5952,0.4
Spectrogram|SMOTE|PCA|MLP76,0.5818,0.6957,0.4206,0.6111,0.74
Fusion|SMOTEENN|K50|LR_C1,0.5801,0.6087,0.4603,0.5794,0.2
MFCC|NoSMOTE|K50|LGB,0.5801,0.6087,0.4683,0.5794,0.49
Fusion|SMOTEENN|K50|ET,0.5801,0.6087,0.5119,0.5794,0.44
MFCC|SMOTE|PCA|MLP76,0.5801,0.6087,0.4841,0.5794,0.56
Fusion|BorderSMOTE|K100|MLP76,0.5801,0.6087,0.5556,0.5794,0.44
Spectrogram|SMOTE|PCA|LR_C1,0.5801,0.6087,0.4762,0.5794,0.52
Wav2Vec|SMOTE|K100|LGB,0.5801,0.6087,0.4762,0.5794,0.38
Fusion|SMOTETomek|K50|LR_C1,0.5801,0.6087,0.4921,0.5794,0.54
MFCC|SMOTE|PCA|LR_C1,0.5644,0.5652,0.5476,0.5833,0.34
Spectrogram|SMOTE|K100|SVM_C100,0.5644,0.5652,0.5159,0.6032,0.27
Wav2Vec|SMOTE|K100|ET,0.5644,0.5652,0.5238,0.6032,0.32
