Feature,Model,F1 (tuned),Best Thr,AUC
Fusion_All,Logistic Regression,0.6520255863539446,0.63,0.5702075702075702
Fusion_All,SVM,0.6219421793921422,0.55,0.5742775742775743
MFCC,XGBoost,0.6067226890756303,0.45,0.5620675620675621
MFCC,SVM,0.6053539684199518,0.55,0.5614570614570615
MFCC,Logistic Regression,0.6007226738934056,0.55,0.5136345136345136
Wav2Vec_Full,Logistic Regression,0.5921717171717171,0.6,0.5563695563695564
MFCC,Random Forest,0.5868055555555556,0.4,0.5567765567765568
Spectrogram,Random Forest,0.5666194574572394,0.55,0.4778184778184779
Wav2Vec_Full,SVM,0.5626895325734602,0.51,0.5063085063085063
Spectrogram,SVM,0.5597711532670882,0.49,0.4574684574684575
Spectrogram,Logistic Regression,0.5597122302158273,0.61,0.5156695156695157
Fusion_All,Random Forest,0.5521783181357649,0.55,0.522995522995523
Wav2Vec_Full,Random Forest,0.5521783181357649,0.58,0.5006105006105006
Wav2Vec_Full,XGBoost,0.5413573146502144,0.68,0.4692714692714693
Fusion_All,XGBoost,0.5260504201680672,0.49,0.47496947496947495
Spectrogram,XGBoost,0.4889047959914102,0.68,0.43589743589743596
