scenario,model,type,cv_f1_mean,cv_f1_std,cv_acc_mean,test_f1,test_acc,test_auc,overfit_gap,time_s,y_pred,y_prob
S1_Spectrogram,RandomForest,Traditional ML,0.6468,0.0514,0.6949,0.6419,0.65,0.66,-0.0049,2.3,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.85, 0.42, 0.36, 0.6833333333333333, 0.26666666666666666, 0.94, 0.25666666666666665, 0.31666666666666665, 0.44666666666666666, 0.83, 0.73, 0.43, 0.43, 0.7866666666666666, 0.37333333333333335, 0.8866666666666667, 0.5066666666666667, 0.9533333333333334, 0.9433333333333334, 0.3566666666666667]"
S1_Spectrogram,SVM,Traditional ML,0.6284,0.0743,0.6949,0.6875,0.7,0.7,0.0591,0.6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0]","[0.8948102287125409, 0.5793244012696244, 0.06608797919875488, 0.8786148910692875, 0.287948693442289, 0.9831121639385503, 0.0983823714483911, 0.12066655914344288, 0.07253218276850636, 0.8448681345356114, 0.9467865512486666, 0.10090126865901101, 0.3580807154093853, 0.9585605075641611, 0.6052336215373253, 0.9918172199854028, 0.5568666280473351, 0.9879716540130264, 0.9779631210251528, 0.2641359943173947]"
S1_Spectrogram,LogisticRegression,Traditional ML,0.6553,0.0698,0.6824,0.6419,0.65,0.62,-0.0133,0.7,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0.9997094972782596, 0.7272358821830517, 0.17530024573297526, 0.885045830837934, 3.776260180677975e-05, 0.9891163925154655, 0.17040319381961533, 0.027978404538519703, 0.06000287862944751, 0.9046123436758227, 0.9770130780976453, 0.06421666110431933, 0.4341892095129199, 0.9458261444963981, 1.2675946329808069e-08, 0.9989980606592508, 0.7262098906865545, 0.9998482408295211, 0.9955499808751689, 0.40683997439324393]"
S1_Spectrogram,XGBoost,Traditional ML,0.6339,0.1354,0.6566,0.6419,0.65,0.66,0.008,0.9,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.9863306283950806, 0.039642032235860825, 0.39204370975494385, 0.9222082495689392, 0.029809389263391495, 0.985888659954071, 0.20425266027450562, 0.09142431616783142, 0.6383799910545349, 0.9782513380050659, 0.8088914752006531, 0.4658823013305664, 0.40730953216552734, 0.9867812991142273, 0.15982617437839508, 0.9967560172080994, 0.789700448513031, 0.9879684448242188, 0.9744502902030945, 0.2843390703201294]"
S1_Spectrogram,MLP_DL,Deep Learning,0.5592,0.0462,0.5985,0.6267,0.65,0.62,0.0675,0.9,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0.6516536273441862, 0.49690876910527637, 0.5945190328574416, 0.538996431679838, 0.46767375310810627, 0.6165063540275201, 0.515463889692259, 0.5882415905900144, 0.4902633491761111, 0.5774448635063647, 0.5597221547012801, 0.5669552533910702, 0.5312464400482895, 0.5846594449129646, 0.7254258158011673, 0.6036095316292448, 0.5361790269366078, 0.644196756563074, 0.6419525441004618, 0.4921422692482493]"
S2_MFCC,RandomForest,Traditional ML,0.6612,0.0831,0.7088,0.6011,0.65,0.585,-0.0601,2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0.8, 0.39666666666666667, 0.55, 0.6633333333333333, 0.36333333333333334, 0.56, 0.6566666666666666, 0.36, 0.5866666666666667, 0.77, 0.6366666666666667, 0.4, 0.47333333333333333, 0.7533333333333333, 0.23666666666666666, 0.5866666666666667, 0.8866666666666667, 0.89, 0.8566666666666667, 0.48333333333333334]"
S2_MFCC,SVM,Traditional ML,0.671,0.0557,0.7074,0.5489,0.55,0.52,-0.1221,0.6,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]","[0.28527424756424985, 0.08092486198117196, 0.19478257516255842, 0.8558918976827847, 0.008047914060867169, 0.3348108216389528, 0.7807573033024132, 0.04806620036118003, 0.8077947389265543, 0.6460169637637968, 0.2532901900047103, 0.014279996755859394, 0.2608633904198194, 0.7999323529838522, 0.0020882980983775107, 0.37074408314054763, 0.9447315956293911, 0.7116088152404862, 0.8544989489966223, 0.12862375115755406]"
S2_MFCC,LogisticRegression,Traditional ML,0.5967,0.071,0.6346,0.697,0.7,0.65,0.1003,0.6,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.679391630068405, 0.2621180901067806, 0.11450206069014256, 0.9924681408009457, 0.02526755535060384, 0.776863612883709, 0.9233321378068357, 0.7575026516886764, 0.8505162773724524, 0.8816962681637057, 0.6900344929106135, 0.1064568358451311, 0.8361797427665264, 0.9933032676506778, 0.005116970850509671, 0.9872256096653778, 0.9079400084562036, 0.9221796835005268, 0.9334751818438362, 0.9951804356805158]"
S2_MFCC,XGBoost,Traditional ML,0.4806,0.1434,0.5368,0.6491,0.65,0.64,0.1685,0.8,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[0.9938615560531616, 0.4590148329734802, 0.35590264201164246, 0.33580952882766724, 0.6724094152450562, 0.33580952882766724, 0.7442383766174316, 0.16387511789798737, 0.6653977632522583, 0.37246018648147583, 0.6766597032546997, 0.09387139976024628, 0.588485836982727, 0.457868754863739, 0.28205084800720215, 0.9787214398384094, 0.987464189529419, 0.9938039779663086, 0.9896302819252014, 0.6770635843276978]"
S2_MFCC,MLP_DL,Deep Learning,0.6382,0.0422,0.6949,0.4792,0.5,0.39,-0.159,0.9,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0.5381341091136267, 0.5742503164399327, 0.6378601258421939, 0.6528818609846208, 0.6121294565957953, 0.626014871811183, 0.5129994491803025, 0.6060936650708085, 0.5339879374461196, 0.5665978034957264, 0.5427134325780706, 0.5069967873910347, 0.4834988862697351, 0.619221925016639, 0.5266666609327975, 0.6090528824684849, 0.5507955150989924, 0.6392446817563381, 0.5566376630105044, 0.6215019726972226]"
