,F1,Thr,AUC
MFCC_Ling|SVM_rbf_C2,0.6902367650971003,0.3200000000000001,0.7440476190476191
MFCC_Ling|SVM_lin_C0.05,0.6846780162842339,0.5000000000000002,0.6947619047619048
MFCC_Ling|SVM_rbf_C3,0.6831101714822645,0.4100000000000002,0.7307142857142856
MFCC_Ling|SVM_lin_C0.1,0.6788095238095239,0.5300000000000002,0.6902380952380953
MFCC_Ling|LR_C0.1,0.6725982855453739,0.5700000000000003,0.695952380952381
MFCC_Ling|SVM_rbf_C5,0.6713615023474178,0.5700000000000003,0.72
MFCC_Ling|SVM_rbf_C15,0.6710424710424711,0.5400000000000003,0.7357142857142858
MFCC_Ling|SVM_rbf_C20,0.6710424710424711,0.5400000000000003,0.7364285714285714
MFCC_Ling|SVM_rbf_C7,0.6703682790639311,0.48000000000000026,0.7266666666666667
MFCC_Ling|SVM_rbf_C10,0.6693627450980393,0.45000000000000023,0.7347619047619047
MFCC_Ling|SVM_rbf_C1,0.6688573245707017,0.37000000000000016,0.7353571428571428
MFCC_Ling|SVM_lin_C0.5,0.6660694288913773,0.49000000000000027,0.6738095238095239
MFCC_Ling|LR_C0.05,0.6641772467015186,0.5900000000000003,0.6947619047619047
BERT_MFCC_Ling_Pros|ET_n200,0.661904761904762,0.46000000000000024,0.6430952380952382
BERT_MFCC_Ling_Pros|SVM_rbf_C1,0.661904761904762,0.48000000000000026,0.670952380952381
BERT_MFCC_Ling|ET_n200,0.6603069023863704,0.45000000000000023,0.6966666666666667
MFCC_Ling|SVM_lin_C1,0.659927596769702,0.49000000000000027,0.6742857142857144
BERT_MFCC_Ling_Pros|SVM_rbf_C0.5,0.6570876599855108,0.6500000000000004,0.6742857142857143
BERT_MFCC_Ling|SVM_rbf_C1,0.6570876599855108,0.45000000000000023,0.6614285714285714
MFCC_Ling|SVM_rbf_C0.5,0.6562517592748973,0.5000000000000002,0.6902380952380953
BERT_MFCC_Ling_Pros|SVM_rbf_C7,0.6558084540348803,0.34000000000000014,0.6614285714285714
BERT_MFCC_Ling_Pros|SVM_rbf_C5,0.6558084540348803,0.34000000000000014,0.6614285714285714
BERT_MFCC_Ling_Pros|SVM_rbf_C10,0.6558084540348803,0.34000000000000014,0.6614285714285714
BERT_MFCC_Ling_Pros|SVM_rbf_C2,0.6558084540348803,0.34000000000000014,0.66
BERT_MFCC_Ling_Pros|SVM_rbf_C15,0.6558084540348803,0.34000000000000014,0.6614285714285714
BERT_MFCC_Ling_Pros|SVM_rbf_C20,0.6558084540348803,0.34000000000000014,0.6614285714285714
BERT_MFCC_Ling_Pros|SVM_rbf_C3,0.6558084540348803,0.34000000000000014,0.6614285714285714
MFCC_Ling|LR_C0.5,0.6542207792207793,0.5600000000000003,0.694047619047619
BERT_MFCC_Ling_Pros|SVM_rbf_C0.3,0.6542207792207793,0.5700000000000003,0.6745238095238095
MFCC_Ling|ET_n200,0.6542207792207793,0.47000000000000025,0.6945238095238095
BERT_MFCC_Ling|LR_C0.01,0.6538120567375887,0.3900000000000002,0.6907142857142857
MFCC_Ling|LR_C1,0.6523373000056938,0.5500000000000003,0.6926190476190476
BERT_MFCC|LR_C0.1,0.6519607843137255,0.4400000000000002,0.65
BERT_MFCC|LR_C0.05,0.6519607843137255,0.4400000000000002,0.65
BERT_MFCC|SVM_rbf_C1,0.6510219984415273,0.5000000000000002,0.6535714285714286
BERT_MFCC|SVM_rbf_C0.5,0.6510219984415273,0.7000000000000004,0.6676190476190476
BERT_MFCC|SVM_rbf_C15,0.6459283585720368,0.36000000000000015,0.6485714285714286
BERT_MFCC|SVM_rbf_C10,0.6459283585720368,0.36000000000000015,0.6485714285714286
BERT_MFCC|SVM_rbf_C20,0.6459283585720368,0.36000000000000015,0.6485714285714286
BERT_MFCC|SVM_rbf_C7,0.6459283585720368,0.36000000000000015,0.6485714285714286
BERT_MFCC|SVM_rbf_C2,0.6459283585720368,0.36000000000000015,0.6473809523809524
BERT_MFCC|SVM_rbf_C5,0.6459283585720368,0.36000000000000015,0.6485714285714286
BERT_MFCC|SVM_rbf_C3,0.6459283585720368,0.36000000000000015,0.6485714285714286
MFCC_Ling|SVM_rbf_C0.3,0.645,0.5500000000000003,0.6525
BERT_MFCC_Ling|SVM_rbf_C0.5,0.645,0.48000000000000026,0.6769047619047619
MFCC_Ling|RF_n200,0.645,0.46000000000000024,0.6635714285714285
BERT_MFCC|LR_C1,0.645,0.3300000000000001,0.6492857142857142
BERT_MFCC|LR_C0.5,0.645,0.35000000000000014,0.6490476190476191
BERT_MFCC_Ling|LR_C0.1,0.645,0.3300000000000001,0.6752380952380952
BERT_MFCC_Ling_Pros|ET_n100,0.6406882591093117,0.48000000000000026,0.6395238095238095
BERT_MFCC_Ling|ET_n100,0.6402634690086134,0.45000000000000023,0.6926190476190477
BERT_MFCC_Ling|SVM_rbf_C5,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C3,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C2,0.6399420429847863,0.36000000000000015,0.6558333333333333
BERT_MFCC_Ling|SVM_rbf_C7,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C20,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C10,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C15,0.6399420429847863,0.36000000000000015,0.6567857142857143
BERT_MFCC_Ling|SVM_rbf_C0.3,0.6390186225243866,0.6400000000000003,0.6780952380952381
BERT_MFCC|LR_C0.01,0.6377551020408163,0.45000000000000023,0.6614285714285715
