Model,F1,Thr,AUC
Random Forest_TextOnly,0.61133365901319,0.3800000000000001,0.6102971102971103
XGBoost_TextOnly,0.6023391812865497,0.42000000000000015,0.6277981277981278
Random Forest_AudioOnly,0.5808823529411764,0.4800000000000002,0.5103785103785103
Random Forest_Stacking,0.5612348178137652,0.5300000000000002,0.5628815628815629
XGBoost_Stacking,0.5597122302158273,0.5800000000000003,0.5742775742775743
XGBoost_AudioOnly,0.5145545102379635,0.6400000000000003,0.4737484737484738
