Model,Macro_F1,Best_Thr,AUC
Logistic Regression,0.6196646072374228,0.5300000000000002,0.627013963480129
SVM,0.5934159061277705,0.31,0.6096938775510204
Random Forest,0.5722222222222222,0.4400000000000001,0.6012352309344791
XGBoost,0.5564537157757496,0.4500000000000001,0.5816326530612246
