Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top3,0.6395010395010395,0.49000000000000016,0.5624745624745624
Ensemble,Top4,0.6298387096774194,0.47000000000000014,0.5478225478225478
MFCC,SVM,0.6015625,0.52,0.5494505494505495
MFCC,Random Forest,0.5981087470449172,0.55,0.5461945461945462
Ensemble,Top2,0.5921717171717171,0.5300000000000002,0.5527065527065528
Wav2Vec_Full,SVM,0.5778478517934569,0.36,0.5620675620675621
MFCC,Logistic Regression,0.5718518518518518,0.66,0.5087505087505088
Wav2Vec_Full,Logistic Regression,0.5577453685455263,0.5,0.4940984940984941
Fusion_All,Random Forest,0.5413573146502144,0.51,0.4814814814814815
Wav2Vec_Full,XGBoost,0.5381057905385875,0.31,0.4818884818884819
Spectrogram,Random Forest,0.5371333702268954,0.57,0.4542124542124542
Spectrogram,SVM,0.5306268534614991,0.53,0.46235246235246236
Fusion_All,Logistic Regression,0.5205777828728648,0.61,0.47985347985347987
Wav2Vec_Full,Random Forest,0.5158384190642256,0.39,0.4533984533984534
Spectrogram,XGBoost,0.5145316455696203,0.64,0.44240944240944247
Fusion_All,XGBoost,0.5122661122661123,0.7,0.4672364672364672
Spectrogram,Logistic Regression,0.5018315018315018,0.54,0.4570614570614572
MFCC,XGBoost,0.49264705882352944,0.7,0.4481074481074481
Fusion_All,SVM,0.48704061895551254,0.32,0.4700854700854701
