Feature,Model,F1 (tuned),Best Thr,AUC
MFCC,SVM,0.6178227848101265,0.47,0.5368335368335369
Wav2Vec_Full,Random Forest,0.5827001753360608,0.59,0.5820105820105821
Ensemble,Top3,0.5677519379844961,0.5600000000000003,0.5767195767195767
Wav2Vec_Full,XGBoost,0.5671296296296295,0.48,0.564916564916565
Wav2Vec_Full,Logistic Regression,0.5577453685455263,0.48,0.518925518925519
MFCC,XGBoost,0.5475806451612903,0.57,0.5242165242165242
Spectrogram,XGBoost,0.5388167388167389,0.38,0.49694749694749696
Spectrogram,SVM,0.5228070175438597,0.47,0.49491249491249495
Spectrogram,Logistic Regression,0.517540402049665,0.48,0.4631664631664632
Wav2Vec_Full,SVM,0.5147058823529412,0.54,0.4481074481074482
MFCC,Logistic Regression,0.5145545102379635,0.62,0.4481074481074481
MFCC,Random Forest,0.5122661122661123,0.5,0.503052503052503
Spectrogram,Random Forest,0.5098039215686274,0.41,0.4717134717134717
