,F1,Thr,AUC
BERT_MFCC_Ling|SVM_rbf_C1,0.6755788823711022,0.4300000000000002,0.6697619047619048
All_Features|SVM_rbf_C0.5,0.6742332769862353,0.6700000000000004,0.6769047619047619
BERT_MFCC_Ling|SVM_rbf_C0.5,0.6558084540348803,0.5400000000000003,0.6578571428571428
MFCC_Ling|SVM_rbf_C0.5,0.6558084540348803,0.4400000000000002,0.6698809523809524
BERT_MFCC_Ling|SVM_rbf_C5,0.6542207792207793,0.25000000000000006,0.6711904761904762
BERT_MFCC_Ling|SVM_rbf_C10,0.6542207792207793,0.25000000000000006,0.6711904761904762
BERT_MFCC_Ling|SVM_rbf_C2,0.6542207792207793,0.26000000000000006,0.6714285714285715
BERT_MFCC_Ling|LR_C0.01,0.6527670527670528,0.48000000000000026,0.6649999999999999
All_Features|SVM_rbf_C1,0.6527670527670528,0.5800000000000003,0.6833333333333332
All_Features|SVM_rbf_C10,0.6459283585720368,0.37000000000000016,0.6847619047619048
All_Features|SVM_rbf_C2,0.6459283585720368,0.37000000000000016,0.6823809523809523
All_Features|SVM_rbf_C5,0.6459283585720368,0.37000000000000016,0.6847619047619048
MFCC_Ling|SVM_rbf_C1,0.644110275689223,0.35000000000000014,0.6697619047619047
MFCC_Ling|LR_C0.01,0.6420104060505283,0.47000000000000025,0.6797619047619048
All_Text|SVM_rbf_C1,0.6405063291139241,0.6000000000000003,0.6636904761904762
BERT_Ling_TFIDF|SVM_rbf_C1,0.6405063291139241,0.6000000000000003,0.6636904761904762
MFCC_Ling|LR_C0.1,0.6397863818424566,0.6900000000000004,0.6583333333333333
BERT_Ling_TFIDF|LR_C0.05,0.6352293577981651,0.23000000000000004,0.679047619047619
All_Text|LR_C0.05,0.6352293577981651,0.23000000000000004,0.679047619047619
All_Text|SVM_rbf_C2,0.6345588235294117,0.4100000000000002,0.6721428571428572
BERT_Ling_TFIDF|SVM_rbf_C2,0.6345588235294117,0.4100000000000002,0.6721428571428572
BERT_MFCC_Ling|LR_C0.05,0.6344916344916345,0.4400000000000002,0.6602380952380952
All_Features|LR_C0.01,0.6309097295398665,0.5500000000000003,0.670952380952381
All_Text|SVM_rbf_C10,0.6302083333333333,0.3300000000000001,0.6726190476190477
All_Text|SVM_rbf_C5,0.6302083333333333,0.3300000000000001,0.6726190476190477
BERT_Ling_TFIDF|SVM_rbf_C5,0.6302083333333333,0.3300000000000001,0.6726190476190477
BERT_Ling_TFIDF|SVM_rbf_C10,0.6302083333333333,0.3300000000000001,0.6726190476190477
BERT_Ling_TFIDF|SVM_rbf_C0.5,0.6297951582867785,0.5300000000000002,0.6535714285714286
All_Text|SVM_rbf_C0.5,0.6297951582867785,0.5300000000000002,0.6535714285714286
BERT_TFIDF|SVM_rbf_C2,0.628095238095238,0.37000000000000016,0.6597619047619048
BERT_TFIDF|SVM_rbf_C5,0.628095238095238,0.37000000000000016,0.66
BERT_TFIDF|SVM_rbf_C10,0.628095238095238,0.37000000000000016,0.66
BERT_Ling|SVM_rbf_C1,0.628095238095238,0.4400000000000002,0.649047619047619
All_Text|LR_C0.1,0.6267768063079977,0.2,0.6811904761904761
MFCC_Ling|SVM_rbf_C10,0.6267768063079977,0.24000000000000005,0.6828571428571428
BERT_Ling_TFIDF|LR_C0.1,0.6267768063079977,0.2,0.6811904761904761
BERT_TFIDF|LR_C0.01,0.622970052485335,0.5100000000000002,0.6526190476190477
BERT_Ling|SVM_rbf_C5,0.622970052485335,0.35000000000000014,0.6547619047619049
MFCC_Ling|LR_C0.5,0.622970052485335,0.5900000000000003,0.632142857142857
BERT_Ling|SVM_rbf_C10,0.622970052485335,0.35000000000000014,0.6547619047619049
MFCC_Ling|SVM_rbf_C5,0.6227964259840618,0.36000000000000015,0.6778571428571429
MFCC_Ling|LR_C1,0.6227226720647774,0.6600000000000004,0.6288095238095238
MFCC_Ling|LR_C0.05,0.6226387991093874,0.7000000000000004,0.6642857142857143
BERT_Ling_TFIDF|LR_C0.5,0.6199965837271537,0.2,0.6842857142857143
BERT_MFCC_Ling|LR_C0.5,0.6199965837271537,0.2,0.6557142857142857
MFCC_Ling|SVM_rbf_C2,0.6199965837271537,0.3100000000000001,0.6673809523809524
All_Text|LR_C0.5,0.6199965837271537,0.2,0.6842857142857143
MFCC_Ling|SVM_lin_C0.05,0.6190934727285233,0.5700000000000003,0.6402380952380953
BERT_Ling|SVM_rbf_C2,0.6171568627450981,0.35000000000000014,0.6535714285714287
BERT_TFIDF|SVM_rbf_C1,0.6169144864797038,0.6200000000000003,0.6545238095238095
BERT_TFIDF|LR_C0.05,0.6169144864797038,0.47000000000000025,0.6583333333333334
