name,members,mode,cv_f1,oof_thr,test_f1_oof,test_f1_prior50,test_recall_dep_prior50,test_auc,test_thr_oracle,test_f1_oracle,y_pred_prior50,score
E1_rank_S1_all_models,S1_Spectrogram:RF + S1_Spectrogram:SVM + S1_Spectrogram:LR + S1_Spectrogram:XGB,rank,0.6063,0.645,0.4949,0.5,0.5,0.435,0.475,0.5,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0.9210526315789475, 0.7894736842105263, 0.2631578947368421, 0.6710526315789473, 0.30263157894736836, 0.2894736842105263, 0.47368421052631576, 0.039473684210526314, 0.6973684210526316, 0.7105263157894737, 0.6447368421052632, 0.3421052631578947, 0.15789473684210525, 0.5394736842105263, 0.9210526315789473, 0.02631578947368421, 0.9736842105263157, 0.15789473684210525, 0.3157894736842105, 0.763157894736842]"
E2_rank_S2_all_models,S2_MFCC:RF + S2_MFCC:SVM + S2_MFCC:LR + S2_MFCC:XGB,rank,0.6257,0.695,0.4373,0.5,0.5,0.49,0.49,0.5489,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0.868421052631579, 0.5394736842105263, 0.05263157894736842, 0.7763157894736843, 0.11842105263157894, 0.6447368421052632, 0.7894736842105263, 0.4078947368421052, 0.8157894736842105, 0.881578947368421, 0.48684210526315785, 0.2763157894736842, 0.2368421052631579, 0.43421052631578944, 0.7368421052631579, 0.3289473684210526, 1.0, 0.14473684210526316, 0.013157894736842105, 0.4473684210526315]"
E3_rank_S3_all_models,S3_Wav2Vec:RF + S3_Wav2Vec:SVM + S3_Wav2Vec:LR + S3_Wav2Vec:XGB,rank,0.5653,0.6,0.4949,0.6,0.6,0.54,0.515,0.6,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[0.513157894736842, 0.6842105263157895, 0.6973684210526315, 0.7631578947368421, 0.5131578947368421, 0.5263157894736842, 0.618421052631579, 0.15789473684210525, 0.21052631578947367, 0.6710526315789473, 0.8421052631578947, 0.10526315789473684, 0.35526315789473684, 0.5789473684210527, 0.7236842105263158, 0.2763157894736842, 0.4078947368421052, 0.02631578947368421, 0.4605263157894737, 0.868421052631579]"
E4_rank_S4_all_models,S4_Fusion:RF + S4_Fusion:SVM + S4_Fusion:LR + S4_Fusion:XGB,rank,0.6201,0.62,0.3939,0.5,0.5,0.455,0.36,0.596,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0.894736842105263, 0.4736842105263157, 0.05263157894736842, 0.8157894736842105, 0.42105263157894735, 0.40789473684210525, 0.8421052631578947, 0.35526315789473684, 0.6578947368421052, 0.6710526315789473, 0.3026315789473684, 0.3421052631578947, 0.17105263157894735, 0.6052631578947368, 0.8157894736842105, 0.21052631578947367, 0.9605263157894737, 0.09210526315789473, 0.2763157894736842, 0.631578947368421]"
