name,members,mode,cv_f1,oof_thr,test_f1_oof,test_f1_prior50,test_recall_dep_prior50,test_auc,test_thr_oracle,test_f1_oracle,y_pred_prior50,score
E1_rank_S3LR_S4XGB,S3_Wav2Vec:LR + S4_Fusion:XGB,rank,0.55,0.56,0.596,0.7,0.7,0.65,0.475,0.697,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[0.39473684210526316, 0.42105263157894735, 0.5263157894736842, 0.7105263157894737, 0.631578947368421, 0.8947368421052632, 0.7894736842105263, 0.10526315789473684, 0.368421052631579, 0.5263157894736842, 0.6842105263157894, 0.02631578947368421, 0.2631578947368421, 0.5789473684210527, 0.868421052631579, 0.5526315789473684, 0.5789473684210527, 0.07894736842105263, 0.5263157894736842, 0.47368421052631576]"
E2_prob_S2XGB_S3LR,S2_MFCC:XGB + S3_Wav2Vec:LR,prob,0.5301,0.4,0.3732,0.7,0.7,0.58,0.325,0.7,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[0.27775028652496475, 0.24166543328781356, 0.3299303121558497, 0.368416954488358, 0.24568045709508476, 0.5324763551888099, 0.375666733520329, 0.16824792782037606, 0.3197941389729741, 0.3275321768710634, 0.4572650024247616, 0.11046413967355861, 0.15068912664507422, 0.34444462768837225, 0.4685618768837006, 0.34311575636354064, 0.3619855292320881, 0.08781677022846941, 0.3184705153294679, 0.32472225722261877]"
E3_prob_S2RF_S3LR,S2_MFCC:RF + S3_Wav2Vec:LR,prob,0.5206,0.54,0.3333,0.7,0.7,0.6,0.335,0.7,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[0.25573154068966675, 0.26131578597639127, 0.37515618847512777, 0.3901858513538269, 0.26995119340321705, 0.5301071313539791, 0.44014153202597417, 0.20714481995133416, 0.30386266572286974, 0.354629741768757, 0.5063918755915304, 0.17092859718201903, 0.22029396187135242, 0.4129954787554891, 0.5184298283353794, 0.35971379086654676, 0.368869416582858, 0.13509372498106212, 0.33240556015695644, 0.3302552440672518]"
E4_rank_all_S3,S3_Wav2Vec:RF + S3_Wav2Vec:SVM + S3_Wav2Vec:LR + S3_Wav2Vec:XGB,rank,0.5653,0.6,0.4949,0.6,0.6,0.54,0.515,0.6,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[0.513157894736842, 0.6842105263157895, 0.6973684210526315, 0.7631578947368421, 0.5131578947368421, 0.5263157894736842, 0.618421052631579, 0.15789473684210525, 0.21052631578947367, 0.6710526315789473, 0.8421052631578947, 0.10526315789473684, 0.35526315789473684, 0.5789473684210527, 0.7236842105263158, 0.2763157894736842, 0.4078947368421052, 0.02631578947368421, 0.4605263157894737, 0.868421052631579]"
