,CV_F1,CV_AUC,Best_Thr
LR,0.6057829663563371,0.6083857442348009,0.28
RF,0.5770308123249299,0.59958071278826,0.43000000000000016
LightGBM,0.5770308123249299,0.5561844863731656,0.32000000000000006
XGBoost,0.5754621044445773,0.5788259958071279,0.6500000000000004
SVM_linear,0.5661154784494442,0.5641509433962265,0.3700000000000001
SVM_rbf,0.4800275482093664,0.6299790356394129,0.27
