Method,Test_Macro_F1,Test_Accuracy,Test_AUC,Threshold
RF,0.5691609977324263,0.6052631578947368,0.632996632996633,0.43000000000000016
Meta-Stacking,0.5681818181818181,0.5789473684210527,0.5151515151515151,0.4700000000000002
Simple Average,0.5594202898550724,0.5789473684210527,0.5454545454545454,0.32000000000000006
SVM_linear,0.5476190476190476,0.5789473684210527,0.5723905723905724,0.3700000000000001
LR,0.5260454878943507,0.5526315789473685,0.5151515151515151,0.28
LightGBM,0.5142045454545454,0.5263157894736842,0.4983164983164983,0.32000000000000006
Weighted Voting,0.5117157974300831,0.5526315789473685,0.5387205387205387,0.4500000000000002
SVM_rbf,0.4746543778801843,0.6842105263157895,0.5925925925925927,0.27
XGBoost,0.4176245210727969,0.5789473684210527,0.6094276094276094,0.6500000000000004
