Feature,Model,F1 (tuned),Best Thr,AUC
Ensemble,Top2,0.6065458796025716,0.6700000000000004,0.5087505087505088
MFCC,Logistic Regression,0.6060881417537483,0.63,0.5103785103785103
Ensemble,Top4,0.6056166056166056,0.5,0.5213675213675214
MFCC,SVM,0.59828141783029,0.68,0.5164835164835165
Fusion_All,SVM,0.5921717171717171,0.52,0.5498575498575499
Fusion_All,Logistic Regression,0.5921717171717171,0.58,0.5388685388685389
MFCC,Random Forest,0.5901785714285714,0.56,0.5445665445665446
Ensemble,Top3,0.5901785714285714,0.6300000000000003,0.518111518111518
Fusion_All,Random Forest,0.584021750496706,0.48,0.527065527065527
Fusion_All,XGBoost,0.5625730994152047,0.41,0.4782254782254783
Wav2Vec_Full,SVM,0.5367647058823529,0.58,0.5136345136345136
Spectrogram,XGBoost,0.5355289632532034,0.69,0.5002035002035002
Wav2Vec_Full,Logistic Regression,0.5277777777777778,0.58,0.49369149369149373
Wav2Vec_Full,XGBoost,0.5277777777777778,0.36,0.4949124949124949
Spectrogram,SVM,0.521875,0.63,0.4814814814814815
Spectrogram,Random Forest,0.5214814814814814,0.62,0.4761904761904762
MFCC,XGBoost,0.5139256592184687,0.66,0.46153846153846156
Wav2Vec_Full,Random Forest,0.5018315018315018,0.46,0.4794464794464795
Spectrogram,Logistic Regression,0.4997867803837953,0.56,0.4354904354904355
