Feature,Model,F1 (tuned),Best Thr,AUC
Fusion_PCA,SVM,0.6182952182952183,0.56,0.5771265771265772
MFCC,Logistic Regression,0.614070968401677,0.52,0.5824175824175825
MFCC,Random Forest,0.6136363636363636,0.52,0.5592185592185592
Fusion_PCA,Logistic Regression,0.6125549780087964,0.5,0.5868945868945868
Ensemble,Top2,0.6091954022988506,0.4500000000000001,0.5775335775335775
Ensemble,Top4,0.6039032161704669,0.46000000000000013,0.5795685795685795
Ensemble,Top3,0.6007226738934056,0.47000000000000014,0.582010582010582
MFCC,SVM,0.5904581955597543,0.69,0.5327635327635327
Spectrogram,Random Forest,0.5901785714285714,0.62,0.5026455026455027
Wav2Vec_Full,Logistic Regression,0.5865546218487395,0.49,0.5816035816035816
Wav2Vec_Full,SVM,0.5822910902047593,0.6,0.5295075295075296
Spectrogram,SVM,0.5805921052631579,0.53,0.5258445258445259
Spectrogram,Logistic Regression,0.5632779050084635,0.49,0.5437525437525438
Fusion_PCA,Random Forest,0.5625730994152047,0.4,0.5364265364265365
Spectrogram,XGBoost,0.5443948142499183,0.69,0.50997150997151
Wav2Vec_Full,Random Forest,0.5351898734177215,0.44,0.5384615384615385
Wav2Vec_Full,XGBoost,0.52914653784219,0.57,0.5270655270655271
Fusion_PCA,XGBoost,0.5248447204968945,0.31,0.5054945054945055
MFCC,XGBoost,0.5226525938464602,0.43,0.4892144892144892
