Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
MLP_arch3h_a0.05_lr0.0005_s13,0.7527,0.7826,0.619,0.7421,0.52
MLP_arch3h_a0.01_lr0.0005_s13,0.7527,0.7826,0.619,0.7421,0.52
MLP_arch3h_a0.1_lr0.0005_s13,0.7527,0.7826,0.619,0.7421,0.52
MLP_arch3h_a0.001_lr0.0005_s13,0.7527,0.7826,0.619,0.7421,0.52
Spec|SMOTE-tomek|PCA|ET,0.6957,0.6957,0.6429,0.7302,0.36
MLP_arch3h_a0.01_lr0.001_s13,0.692,0.7391,0.5952,0.6865,0.51
MLP_arch3h_a0.05_lr0.001_s13,0.692,0.7391,0.5873,0.6865,0.51
MLP_arch3h_a0.1_lr0.001_s13,0.692,0.7391,0.5873,0.6865,0.51
MLP_arch3h_a0.001_lr0.001_s13,0.692,0.7391,0.5952,0.6865,0.51
MLP_arch3h_a0.1_lr0.0005_s0,0.6862,0.6957,0.619,0.6905,0.53
MLP_arch3h_a0.05_lr0.001_s99,0.6862,0.6957,0.5476,0.6905,0.43
MLP_arch3h_a0.001_lr0.0005_s0,0.6862,0.6957,0.619,0.6905,0.53
Spec|SMOTE-borderline|PCA|GBM,0.6862,0.6957,0.5952,0.6905,0.13
MLP_arch3h_a0.05_lr0.0005_s0,0.6862,0.6957,0.619,0.6905,0.53
MLP_arch3h_a0.01_lr0.0005_s0,0.6862,0.6957,0.619,0.6905,0.53
MLP_arch3h_a0.001_lr0.005_s76,0.6734,0.6957,0.619,0.6706,0.45
MLP_arch3h_a0.1_lr0.005_s13,0.6734,0.6957,0.5873,0.6706,0.57
Spec|NoSMOTE|PCA|GBM,0.6734,0.6957,0.5952,0.6706,0.27
MLP_arch3h_a0.001_lr0.005_s13,0.6734,0.6957,0.5952,0.6706,0.57
MLP_arch3h_a0.05_lr0.005_s13,0.6734,0.6957,0.5952,0.6706,0.57
MLP_arch3h_a0.01_lr0.005_s13,0.6734,0.6957,0.5952,0.6706,0.57
MLP_arch3h_a0.1_lr0.001_s76,0.6618,0.7391,0.4921,0.6667,0.67
