Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
K110|enn|a0.001|s42,0.8083,0.8261,0.7381,0.7976,0.84
K110|enn|a0.05|s42,0.8083,0.8261,0.7381,0.7976,0.84
K110|enn|a0.01|s42,0.8083,0.8261,0.7381,0.7976,0.84
MLP_s240_a0.05_lr0.001,0.7758,0.7826,0.6905,0.7817,0.37
K110|enn|a0.05|s0,0.7758,0.7826,0.8175,0.7817,0.6
K120|enn|a0.01|s42,0.7758,0.7826,0.746,0.7817,0.63
K100|enn|a0.01|s76,0.7758,0.7826,0.6984,0.7817,0.8
K100|enn|a0.001|s76,0.7758,0.7826,0.6984,0.7817,0.79
K120|enn|a0.001|s42,0.7758,0.7826,0.7302,0.7817,0.63
K110|enn|a0.01|s0,0.7758,0.7826,0.8175,0.7817,0.6
K120|enn|a0.05|s42,0.7758,0.7826,0.7381,0.7817,0.63
K110|enn|a0.001|s0,0.7758,0.7826,0.8175,0.7817,0.6
MLP_s286_a0.01_lr0.0005,0.7667,0.7826,0.6429,0.7619,0.48
MLP_s281_a0.05_lr0.0005,0.7667,0.7826,0.7857,0.7619,0.5
MLP_s286_a0.05_lr0.0005,0.7667,0.7826,0.6429,0.7619,0.47
MLP_s281_a0.05_lr0.001,0.7667,0.7826,0.8095,0.7619,0.55
MLP_s286_a0.001_lr0.0005,0.7667,0.7826,0.6429,0.7619,0.48
MLP_s281_a0.001_lr0.0005,0.7667,0.7826,0.7857,0.7619,0.5
MLP_s281_a0.01_lr0.0005,0.7667,0.7826,0.7857,0.7619,0.5
MLP_s281_a0.01_lr0.001,0.7667,0.7826,0.8095,0.7619,0.55
MLP_s151_a0.01_lr0.0005,0.7527,0.7826,0.6349,0.7421,0.49
MLP_s151_a0.001_lr0.0005,0.7527,0.7826,0.6349,0.7421,0.49
MLP_s151_a0.05_lr0.0005,0.7527,0.7826,0.6349,0.7421,0.49
MLP_s13_a0.01_lr0.0005,0.7527,0.7826,0.746,0.7421,0.45
MLP_s13_a0.05_lr0.0005,0.7527,0.7826,0.746,0.7421,0.45
MLP_s13_a0.001_lr0.0005,0.7527,0.7826,0.746,0.7421,0.45
K120|border|a0.01|s99,0.7527,0.7826,0.6984,0.7421,0.46
K120|border|a0.05|s99,0.7527,0.7826,0.6984,0.7421,0.46
K120|border|a0.001|s99,0.7527,0.7826,0.6984,0.7421,0.46
K110|adasyn|a0.001|s76,0.7527,0.7826,0.6508,0.7421,0.58
K110|adasyn|a0.05|s76,0.7527,0.7826,0.6508,0.7421,0.58
K110|enn|a0.001|s76,0.7527,0.7826,0.7778,0.7421,0.58
K110|enn|a0.05|s76,0.7527,0.7826,0.7778,0.7421,0.58
K110|enn|a0.01|s76,0.7527,0.7826,0.7778,0.7421,0.58
K200|enn|a0.001|s0,0.7386,0.7391,0.7063,0.7857,0.66
K120|enn|a0.01|s13,0.7386,0.7391,0.7381,0.7659,0.49
K200|enn|a0.05|s0,0.7386,0.7391,0.7063,0.7857,0.66
K120|enn|a0.05|s13,0.7386,0.7391,0.7381,0.7659,0.49
